NOME DO BAIRRO;LATITUDE;LONGITUDE
BOM RETIRO;-25,40922761;-49,27676037
CASCATINHA;-25,41346986;-49,31164773
RIVIERA;-25,43604159;-49,38092454
LAMENHA PEQUENA;-25,36484514;-49,33726911
JARDIM SOCIAL;-25,41785186;-49,23473061
SEMINÁRIO;-25,44952277;-49,30439159
AHÚ;-25,40209159;-49,2623138
JD. DAS AMÉRICAS;-25,45808679;-49,22947636
CAXIMBA;-25,61730845;-49,35424728
CACHOEIRA;-25,35407224;-49,25971471
BUTIATUVINHA;-25,39471278;-49,35464094
TARUMÃ;-25,42921367;-49,22131112
HUGO LANGE;-25,41775485;-49,24516062
VISTA ALEGRE;-25,4086704;-49,2950145
CRISTO REI;-25,43301673;-49,24325033
SÃO MIGUEL;-25,50399889;-49,3593439
ORLEANS;-25,42556843;-49,36665336
TABOÃO;-25,37133651;-49,27987985
JUVEVÊ;-25,41468292;-49,25640754
SÃO BRAZ;-25,41489084;-49,35009149
SÃO JOÃO;-25,39320624;-49,31106959
FANNY;-25,48085312;-49,26817945
ATUBA;-25,38662542;-49,2044388
UMBARÁ;-25,58154934;-49,28842851
SÃO LOURENÇO;-25,39116824;-49,26744001
LINDOIA;-25,47773963;-49,27503221
GUABIROTUBA;-25,46392176;-49,24272549
MOSSUNGUÊ;-25,43744948;-49,32544343
VILA IZABEL;-25,45668406;-49,29520933
TINGUI;-25,38665422;-49,22079745
ALTO DA XV;-25,42681768;-49,24965801
SANTA QUITÉRIA;-25,45980923;-49,31069929
GANCHINHO;-25,5749249;-49,25796961
AUGUSTA;-25,4556214;-49,37357352
ABRANCHES;-25,36613179;-49,27227744
CAMPO DE SANTANA;-25,59742053;-49,32425008
PAROLIN;-25,46209854;-49,26231596
PILARZINHO;-25,39018154;-49,28759357
PRADO VELHO;-25,45316365;-49,25299393
CAPÃO DA IMBUIA;-25,43657647;-49,21530693
MERCÊS;-25,42214961;-49,29564775
GUAÍRA;-25,46916129;-49,2748558
ALTO DA GLÓRIA;-25,41972151;-49,26175602
BAIRRO ALTO;-25,40964087;-49,20717506
BIGORRILHO;-25,4293926;-49,30087933
UBERABA;-25,48687506;-49,21888857
CENTRO CÍVICO;-25,41498464;-49,26853447
BATEL;-25,44085746;-49,28819783
SANTO INÁCIO;-25,42661958;-49,32596894
BARREIRINHA;-25,36945526;-49,25851041
CAMPO COMPRIDO;-25,45672296;-49,32899843
CAMPINA DO SIQUEIRA;-25,43898924;-49,30921618
SANTA FELICIDADE;-25,39682687;-49,32745596
HAUER;-25,47821583;-49,25232501
BOA VISTA;-25,38669518;-49,24766126
CABRAL;-25,40609542;-49,2501999
XAXIM;-25,50785;-49,26803512
BACACHERI;-25,39934206;-49,23022281
TATUQUARA;-25,56677377;-49,32101629
ÁGUA VERDE;-25,45352011;-49,28097109
SANTA CÂNDIDA;-25,36568213;-49,23126574
PINHEIRINHO;-25,52431758;-49,29130539
ALTO BOQUEIRÃO;-25,53822236;-49,23640722
NOVO MUNDO;-25,48809745;-49,29577081
FAZENDINHA;-25,48149102;-49,32486676
JARDIM BOTÂNICO;-25,4428457;-49,24528743
REBOUÇAS;-25,4439;-49,26452233
SÃO FRANCISCO;-25,42259344;-49,27549907
PORTÃO;-25,47098676;-49,30028042
CAPÃO RASO;-25,50532703;-49,29512495
BOQUEIRÃO;-25,50134774;-49,2361879
CAJURU;-25,45862973;-49,2068117
CIDADE INDUSTRIAL;-25,50696564;-49,33819769
SITIO CERCADO;-25,54315051;-49,26772719
CENTRO;-25,4325269;-49,26964654
