LOGRADOURO;BAIRRO ALTO;QUANTIDADE;TIPO;LATITUDE;LONGITUDE;;
ENGENHEIRO JOÃO VISINONI;CIDADE INDUSTRIAL;5;PATRIMONIO;-25,4378069;-49,360039;;
PADRE ESTANISLAU PIASECKI;CIDADE INDUSTRIAL;15;PATRIMONIO;-25,4361932;-49,3581513;;
VEREADOR TOALDO TÚLIO;ORLEANS;5;PATRIMONIO;-25,4308083;-49,3531699;;
PROFESSORA HILDA HANKE GONÇALVES;CIDADE INDUSTRIAL;6;PATRIMONIO;-25,4746922;-49,3398253;;
JORNALISTA EMÍLIO ZOLA FLORENZANO;TATUQUARA;22;PATRIMONIO;-25,5756889;-49,336774;;
JORNALISTA EMÍLIO ZOLA FLORENZANO;TATUQUARA;14;VIDA;-25,5756889;-49,336774;;
MONSENHOR IVO ZANLORENZI;CAMPO COMPRIDO;13;VIDA;-25,441289;-49,3354198;;
MONSENHOR IVO ZANLORENZI;CAMPO COMPRIDO;9;PATRIMONIO;-25,441289;-49,3354198;;
PRESIDENTE JOÃO GOULART;TATUQUARA;24;PATRIMONIO;-25,5772132;-49,3321452;;
PADRE GASTON;CIDADE INDUSTRIAL;6;PATRIMONIO;-25,5121079;-49,3230556;;
SARGENTO FRANCISCO DA SILVA COTRIN;TATUQUARA;7;PATRIMONIO;-25,559874;-49,3159266;;
GENERAL MÁRIO TOURINHO;CAMPINA DO SIQUEIRA;6;PATRIMONIO;-25,4519848;-49,3044409;;
IGUAÇU;PORTÃO;137;PATRIMONIO;-25,45353115;-49,29899747;;
PADRE ANCHIETA;BIGORRILHO;79;PATRIMONIO;-25,4328735;-49,2987196;;
PADRE ANCHIETA;CAMPINA DO SIQUEIRA;46;VIDA;-25,4328735;-49,2987196;;
PADRE ANCHIETA;CAMPINA DO SIQUEIRA;39;PATRIMONIO;-25,4328735;-49,2987196;;
PADRE ANCHIETA;BIGORRILHO;16;VIDA;-25,4328735;-49,2987196;;
PRESIDENTE ARTHUR DA SILVA BERNARDES;SANTA QUITÉRIA;15;PATRIMONIO;-25,4684905;-49,2969257;;
PRESIDENTE ARTHUR DA SILVA BERNARDES;PORTÃO;9;PATRIMONIO;-25,4684905;-49,2969257;;
PRESIDENTE ARTHUR DA SILVA BERNARDES;SANTA QUITÉRIA;6;VIDA;-25,4684905;-49,2969257;;
VEREADOR ADEODATO VOLPI;CAPÃO RASO;32;PATRIMONIO;-25,497933;-49,2944889;;
CORONEL JOÃO MARIA SOBRINHO;VISTA ALEGRE;7;PATRIMONIO;-25,4021146;-49,2943786;;
VISCONDE DE GUARAPUAVA;ALTO DA RUA XV;11;PATRIMONIO;-25,4456544;-49,2910326;;
VISCONDE DE GUARAPUAVA;CENTRO;6;VIDA;-25,4456544;-49,2910326;;
PRESIDENTE TAUNAY;MERCÊS;7;VIDA;-25,4264566;-49,2897395;;
PRESIDENTE KENNEDY;PAROLIN;50;PATRIMONIO;-25,4743109;-49,2883171;;
PRESIDENTE KENNEDY;GUAÍRA;11;PATRIMONIO;-25,4743109;-49,2883171;;
PRESIDENTE KENNEDY;PAROLIN;10;VIDA;-25,4743109;-49,2883171;;
BRIGADEIRO EDUARDO GOMES;PINHEIRINHO;13;PATRIMONIO;-25,5191161;-49,2867489;;
PRESIDENTE WENCESLAU BRAZ;GUAÍRA;98;PATRIMONIO;-25,4764987;-49,2798559;;
PRESIDENTE WENCESLAU BRAZ;LINDÓIA;80;PATRIMONIO;-25,4764987;-49,2798559;;
PRESIDENTE WENCESLAU BRAZ;PORTÃO;22;PATRIMONIO;-25,4764987;-49,2798559;;
PRESIDENTE WENCESLAU BRAZ;GUAÍRA;14;VIDA;-25,4764987;-49,2798559;;
PRESIDENTE WENCESLAU BRAZ;LINDÓIA;13;VIDA;-25,4764987;-49,2798559;;
PRESIDENTE WENCESLAU BRAZ;PORTÃO;8;VIDA;-25,4764987;-49,2798559;;
PRESIDENTE WENCESLAU BRAZ;NOVO MUNDO;8;PATRIMONIO;-25,4764987;-49,2798559;;
PRESIDENTE WENCESLAU BRAZ;PAROLIN;5;PATRIMONIO;-25,4764987;-49,2798559;;
PRAÇA GENERAL OSÓRIO;CENTRO;9;PATRIMONIO;-25,4333115;-49,2768844;;
GENERAL OSÓRIO;CENTRO;14;PATRIMONIO;-25,4336322;-49,2765054;;
GENERAL OSÓRIO;CENTRO;10;PATRIMONIO;-25,4336322;-49,2765054;;
GENERAL OSÓRIO;CENTRO;6;VIDA;-25,4336322;-49,2765054;;
ALFERES POLI;REBOUÇAS;6;PATRIMONIO;-25,4382835;-49,272636;;
CORONEL RIVADÁVIA PEREIRA DE MORAES;XAXIM;6;PATRIMONIO;-25,507973;-49,271521;;
