EDUCACAO_PARTICULAR;EDUCACAO_PUBLICA;LAZER_PARTICULAR;LAZER_PUBLICO;SAUDE_PARTICULAR;SAUDE_PUBLICA;SEGURANCA_PATRIMONIO;SEGURANCA_VIDA;TRANSPORTE_CICLOVIAS;TRANSPORTE_ONIBUS;ZONEAMENTO_COMERCIO;ZONEAMENTO_INDUSTRIA;BAIRRO;NOME DO BAIRRO;AREA;HABITANTES;DOMICILIOS;RENDA MEDIA;PRECO VENDA;LATITUDE;LONGITUDE
650,7128801;414,9673015;38,10782267;43,16493711;25,18052488;100,1122307;643,3367038;791,8409205;1488,09001;129,027688;826,3562996;745,5388928;ABRANCHES;ABRANCHES;4,32;13398;3154;1009;3788;-25,36613179;-49,27227744
793,0921154;519,5680415;44,34932327;47,44426142;29,60965094;122,4433033;808,0376918;982,4209561;1761,25004;159,4278685;1027,570285;936,1750093;ÁGUA VERDE;ÁGUA VERDE;4,76;59839;17045;3332;7110;-25,45352011;-49,28097109
722,6336885;463,5464495;42,09330272;47,04672827;27,86473998;111,1415224;714,828526;882,6219833;1634,042949;144,4325942;920,1280814;830,2118381;AHÚ;AHÚ;1,84;13378;3608;2827;8320;-25,40209159;-49,2623138
635,8266601;461,0330651;34,205394;38,22360755;22,48978793;109,8914804;706,8822227;850,3599394;1447,891092;129,9669093;862,2743049;807,8027529;ALTO BOQUEIRÃO;ALTO BOQUEIRÃO;12,11;61386;14301;1110;3567;-25,53822236;-49,23640722
755,6509703;486,2688605;43,87265047;48,08215813;29,10075036;115,6285615;747,1653742;923,3123276;1692,27609;151,7836195;960,551384;867,7064089;ALTO DA GLÓRIA;ALTO DA GLÓRIA;0,88;6706;2125;3263;8203;-25,41972151;-49,26175602
753,1563068;486,5537487;43,56940929;47,46727308;28,76335836;116,0320742;751,7207257;922,8970548;1692,115537;152,5922104;963,0607551;871,0192016;ALTO DA XV;ALTO DA XV;1,5;10420;3084;2612;6322;-25,42681768;-49,24965801
631,5551883;404,4976759;36,78656445;41,34666457;24,00962651;98,14808082;629,1446134;774,2838225;1428,033108;127,461376;814,5621855;734,7699542;ATUBA;ATUBA;4,27;15158;3627;1211;4287;-25,38662542;-49,2044388
618,2448362;434,0779999;34,16485488;39,10627298;23,02073774;103,7877305;650,0296277;798,6187983;1434,192966;121,5813105;816,6573323;760,4011737;AUGUSTA;AUGUSTA;8,84;4340;995;619;2886;-25,4556214;-49,37357352
687,3519826;441,4331061;40,01771561;44,92686058;26,23909135;106,8300702;684,6941808;843,3199383;1555,861682;138,5554157;883,8741622;797,8581043;BACACHERI;BACACHERI;6,98;27727;7107;3029;5917;-25,39934206;-49,23022281
666,0758656;430,3437192;38,52606569;43,03791736;25,12414277;104,1274904;668,8107036;820,4584151;1501,021028;135,0030154;862,2288346;780,842771;BAIRRO ALTO;BAIRRO ALTO;7,02;50440;12071;1211;3946;-25,40964087;-49,20717506
