NOME;LOGRADOURO;BAIRRO;TIPO;LATITUDE;LONGITUDE
ROMARIO MARTINS, E M CEI-EF;RUA DAVID BODZIAK 828;CACHOEIRA;PÚBLICA;-25,3529929;-49,2554256
VILA LEONICE, C M E I;RUA DAVID BODZIAK 828;CACHOEIRA;PÚBLICA;-25,3529929;-49,2554256
MARIA AP B HARTMANN, C M E I;RUA OVIDIO GARCEZ 59;CACHOEIRA;PÚBLICA;-25,3530241;-49,2627214
TANIRA REGINA SCHMIDT, E M-EI EF;RUA VICTOR KOTOVIS 162;ABRANCHES;PÚBLICA;-25,3556425;-49,2742871
GETULIO VARGAS, C E C-M-EF M;RUA EMILIA MARIA UBA 325;VL LEONICE;PÚBLICA;-25,3556728;-49,2536389
NOSSA SRA DE FATIMA, C M E I;RUA NELSON PREVEDELLO 135;ABRANCHES;PÚBLICA;-25,3564473;-49,2738361
JARDIM ALEGRE, C M E I;RUA ERICO DA SILVA 427;SANTA CANDIDA;PÚBLICA;-25,3632102;-49,2162054
AUGUSTO C SANDINO, E M CEI-EI EF;RUA MOBRAL 413;SANTA CANDIDA;PÚBLICA;-25,3642654;-49,2317419
ULYSSES S GUIMARAES, E M CEI-EI EF;RUA PEDRO SIQUEIRA CORTES 323;ABRANCHES;PÚBLICA;-25,3643427;-49,2748068
CANTINHO DO SOL, C M E I;RUA FRANCISCO BACON 180;SANTA CANDIDA;PÚBLICA;-25,36461675;-49,23063744
JOAO WISLINSKI, C E PE-EF M;RUA FRANCIS BACON 7;SANTA CANDIDA;PÚBLICA;-25,3647482;-49,2304862
JARDIM ALIANCA, C M E I;RUA FRANCIS BACON 244;SANTA CANDIDA;PÚBLICA;-25,3647482;-49,2304862
BELA VISTA DO PARAISO, E M C E I - EI EF;RUA ANTONIO ANTONIACOMI 580;SANTA CANDIDA;PÚBLICA;-25,3663798;-49,2109849
MARIA P MARTINS, E E-EF;AV ANITA GARIBALDI 5340;BARREIRINHA;PÚBLICA;-25,3672433;-49,259739
VILA DIANA, C M E I;RUA TENENTE CORONEL MUNIZ DE ARAGAO 535;BARREIRINHA;PÚBLICA;-25,36729;-49,2647581
CRUZEIRO DO SUL, C E-EF M;RUA DO BUDA 8;SANTA CANDIDA;PÚBLICA;-25,3675233;-49,2095482
KRASINSKI, C M E I;RUA CORONEL VERGINIO LEINIG DE MELLO 345;ABRANCHES;PÚBLICA;-25,3681602;-49,2730987
VILA CALIFORNIA, C M E I;RUA LAURO DROMLEWICZ 180;SANTA CANDIDA;PÚBLICA;-25,3686818;-49,2219752
SANTA GEMMA GALGANI, C E-EF M;RUA ASSIS BRASIL 983;ABRANCHES;PÚBLICA;-25,3698562;-49,2654867
GELVIRA CORREA PACHECO, C E-EF M;RUA CARMELINA CAVASSIN 385;BARREIRINHA;PÚBLICA;-25,3700186;-49,2696917
SANTA CANDIDA, C M E I;RUA ENGENHEIRO BENEDICTO SADOCK DE SA 170;ATUBA;PÚBLICA;-25,37320057;-49,21050316
RAUL GELBECK, E M-EI EF;RUA ODACIR SCHILIPACK 359;SANTA CANDIDA;PÚBLICA;-25,37339955;-49,24161759
THEODORO DE BONA, E M-EI EF;RUA ESTRADA DAS OLARIAS 1081;SANTA CANDIDA;PÚBLICA;-25,3741258;-49,21302629
CONJUNTO MONTEVERDI, C M E I;RUA TRES CORACOES 179;SANTA FELICIDADE;PÚBLICA;-25,3743394;-49,3280866
SANTA CANDIDA, C E-EF M PROFIS;RUA THEODORO MAKIOLKA 155;SANTA CANDIDA;PÚBLICA;-25,3746882;-49,22426857
SANTA AGUEDA, E M-EI EF;RUA JOSE ANTONIO LEPREVOST 496;SANTA CANDIDA;PÚBLICA;-25,374801;-49,2338625
JOSE W DIAS, E M PROF CEI-EF;RUA DOS IPES 122;BARREIRINHA;PÚBLICA;-25,3749837;-49,2528961
SEBASTIAO SAPORSKI, C E C-M-EF M;RUA MARIA DE LOURDES MICKOSZ 350;TABOAO;PÚBLICA;-25,3750318;-49,2780831
SONIA MARIA C KENSKI, E M PROFA-EI EF;RUA WANDA WOLF 1142;SANTA FELICIDADE;PÚBLICA;-25,3755124;-49,3272576
