LATITUDE;LONGITUDE
-25,3535341;-49,2020609
-25,3541295;-49,2611617
-25,3589962;-49,2678799
-25,3633701;-49,2663426
-25,36470307;-49,26203753
-25,3652526;-49,2587093
-25,3686422;-49,3261393
-25,368724;-49,2648156
-25,3723708;-49,2607143
-25,3729606;-49,2183534
-25,3730936;-49,2136453
-25,3735925;-49,2157584
-25,3749263;-49,2629616
-25,3771166;-49,2386801
-25,3773252;-49,2794244
-25,3773909;-49,2554232
-25,37782818;-49,2305386
-25,3778536;-49,2301383
-25,3778536;-49,2301383
-25,3782067;-49,2357817
-25,3789233;-49,2430657
-25,3811201;-49,2504863
-25,38128735;-49,26854405
-25,3815833;-49,2353162
-25,3823801;-49,2389802
-25,3828774;-49,27308637
-25,38363255;-49,25892056
-25,383633;-49,3348413
-25,383638;-49,2315481
-25,3837568;-49,2588416
-25,38585946;-49,35214224
-25,3862706;-49,2799601
-25,3866322;-49,2588045
-25,3869303;-49,2423466
-25,3872263;-49,2223595
-25,3874154;-49,2139009
-25,3874191;-49,2095677
-25,3874988;-49,2821782
-25,3876174;-49,2520965
-25,3877869;-49,2140932
-25,38813;-49,2848685
-25,38820235;-49,22026411
-25,3889245;-49,2385526
-25,3891396;-49,2196642
-25,3891576;-49,2444045
-25,3892194;-49,2487416
-25,3898381;-49,2411992
-25,3899823;-49,2512957
-25,3900163;-49,2716676
-25,3900163;-49,2716676
-25,390019;-49,232895
-25,3901271;-49,2688124
-25,3902309;-49,2246838
-25,3907342;-49,2376904
-25,39107245;-49,2347479
-25,3911151;-49,2649564
-25,3912627;-49,3040064
-25,3912777;-49,2380191
-25,3914527;-49,2888016
-25,39171946;-49,2262866
-25,3917302;-49,2196556
-25,3918082;-49,2429869
-25,3918082;-49,2429869
-25,3919741;-49,2434022
-25,3920516;-49,2081459
-25,3924001;-49,2392309
-25,3926396;-49,2266561
-25,3928389;-49,2400357
-25,3933252;-49,2884143
-25,3933892;-49,284062
-25,39364946;-49,23883552
-25,3936672;-49,2388223
-25,3940851;-49,2858661
-25,39417075;-49,22688921
-25,3942543;-49,2624985
-25,3943806;-49,2790734
-25,394588;-49,348084
-25,3948544;-49,33503853
-25,3948646;-49,2268131
-25,3951445;-49,2901523
-25,3951614;-49,2577054
-25,3954606;-49,2489321
-25,397121;-49,3203185
-25,3974052;-49,2486702
-25,3974052;-49,2486702
-25,3976032;-49,2881505
-25,3978599;-49,2383998
-25,3980903;-49,2052831
-25,3984861;-49,2552206
-25,3987315;-49,3207622
-25,3989674;-49,2403227
-25,3994361;-49,2516663
-25,3994361;-49,2516663
-25,3994361;-49,2516663
-25,3996241;-49,2962243
-25,3999026;-49,2461698
-25,4000324;-49,2506132
-25,4001354;-49,2061432
-25,40055223;-49,32939346
-25,4008378;-49,2286663
-25,4011939;-49,2012464
-25,4013834;-49,3293616
-25,4015061;-49,2468818
-25,4016354;-49,3325845
-25,4016852;-49,259492
-25,40182935;-49,33086745
-25,4018635;-49,2502851
-25,4018688;-49,2445009
-25,4019426;-49,2425919
-25,4019824;-49,267538
-25,4021434;-49,3333711
-25,4021581;-49,289159
-25,402484;-49,2831929
-25,40345485;-49,30956553
-25,4037091;-49,2741109
-25,4037153;-49,2472637
-25,4037864;-49,2480067
-25,4038389;-49,2163007
-25,4038389;-49,2163007
-25,4043046;-49,281175
-25,4043337;-49,2113047
-25,40452257;-49,24767577
-25,4048942;-49,2407264
-25,4051104;-49,3331693
-25,4051416;-49,2616788
-25,40540997;-49,33999897
-25,4056479;-49,3341387
-25,4056614;-49,2909553
-25,4058099;-49,27680367
-25,40599;-49,2658996
-25,406203;-49,3471414
-25,4068276;-49,2071995
-25,4068891;-49,2610657
-25,4071434;-49,2686809
-25,4072436;-49,2510929
-25,4077182;-49,3666767
-25,4078049;-49,2726513
-25,4078369;-49,2635034
-25,4083164;-49,2977865
-25,40843455;-49,26915196
-25,40930875;-49,22653173
-25,4093206;-49,2408659
-25,4093206;-49,2408659
-25,40956079;-49,22809034
