LATITUDE;LONGITUDE
-25,3529929;-49,2554256
-25,3529929;-49,2554256
-25,3530241;-49,2627214
-25,3556425;-49,2742871
-25,3556728;-49,2536389
-25,3564473;-49,2738361
-25,3632102;-49,2162054
-25,3642654;-49,2317419
-25,3643427;-49,2748068
-25,36461675;-49,23063744
-25,3647482;-49,2304862
-25,3647482;-49,2304862
-25,3663798;-49,2109849
-25,3672433;-49,259739
-25,36729;-49,2647581
-25,3675233;-49,2095482
-25,3681602;-49,2730987
-25,3686818;-49,2219752
-25,3698562;-49,2654867
-25,3700186;-49,2696917
-25,37320057;-49,21050316
-25,37339955;-49,24161759
-25,3741258;-49,21302629
-25,3743394;-49,3280866
-25,3746882;-49,22426857
-25,374801;-49,2338625
-25,3749837;-49,2528961
-25,3750318;-49,2780831
-25,3755124;-49,3272576
-25,3767572;-49,2575666
-25,3770987;-49,261609
-25,37936085;-49,29965729
-25,37940005;-49,24583907
-25,3800347;-49,2952625
-25,3808077;-49,2450732
-25,3809091;-49,3341018
-25,3823801;-49,2389802
-25,38264885;-49,19842386
-25,3832164;-49,1972357
-25,3833996;-49,2008021
-25,3833996;-49,2008021
-25,3838486;-49,2370232
-25,3838486;-49,2370232
-25,3839196;-49,2296691
-25,385565;-49,2283095
-25,38597;-49,3337557
-25,3864032;-49,3328689
-25,3865005;-49,2624588
-25,3868216;-49,2389804
-25,3875818;-49,2865669
-25,38841324;-49,25960736
-25,38890428;-49,22572022
-25,3889635;-49,2939931
-25,3889689;-49,2937359
-25,3889689;-49,2937359
-25,3894909;-49,2844846
-25,3896713;-49,2840621
-25,3897801;-49,2947136
-25,3907336;-49,21388247
-25,39121485;-49,35528988
-25,3912293;-49,3482222
-25,3912976;-49,2167641
-25,392113;-49,2610737
-25,3921496;-49,21990717
-25,3923748;-49,3464644
-25,3930526;-49,3525015
-25,3938632;-49,3014686
-25,3946831;-49,2036524
-25,3954253;-49,3155409
-25,3955674;-49,2037585
-25,3956168;-49,2895656
-25,3959538;-49,3138436
-25,3965172;-49,2171777
-25,3977345;-49,1966987
-25,3980803;-49,2554814
-25,3980926;-49,3184894
-25,3982139;-49,3309006
-25,3982961;-49,2716606
-25,3994106;-49,3388272
-25,3995995;-49,2975773
-25,399868;-49,2094148
-25,4011096;-49,2447776
-25,4011939;-49,2012464
-25,4020874;-49,2034017
-25,40421767;-49,26548379
-25,4044245;-49,2068436
-25,4063351;-49,3392522
-25,4079624;-49,26034831
-25,40864;-49,28104006
-25,4104912;-49,299111
-25,41067927;-49,24910214
-25,41135575;-49,20131044
-25,4115742;-49,3618121
-25,4117303;-49,29379211
-25,4122024;-49,3036181
-25,4124061;-49,356851
-25,412543;-49,202365
-25,4129827;-49,2318386
-25,4130414;-49,2705022
-25,4135369;-49,3129822
-25,4157644;-49,3608912
-25,4157757;-49,350603
-25,4174085;-49,2065428
-25,4178378;-49,343246
-25,4178706;-49,34246088
-25,4183062;-49,2636784
-25,4183994;-49,2855442
-25,41963846;-49,23024506
-25,4198836;-49,3466449
-25,4200311;-49,26643657
-25,4201086;-49,2002918
-25,420201;-49,3596028
-25,4211347;-49,2439999
-25,4211444;-49,35627155
-25,422318;-49,2078822
-25,4230793;-49,338255
-25,4236459;-49,2666984
-25,4241299;-49,2156126
-25,4243159;-49,25954457
-25,4246217;-49,2957796
-25,4251063;-49,3006777
-25,4252903;-49,2688098
-25,4256695;-49,279772
-25,4258013;-49,3569661
-25,4258624;-49,2149457
-25,426716;-49,3436139
-25,42684774;-49,22484337
-25,42695653;-49,26174434
-25,42716213;-49,26184346
-25,4272028;-49,2115389
-25,4280199;-49,3284702
-25,4281717;-49,27299828
-25,4281717;-49,27299828
-25,4282447;-49,2692374
-25,42828916;-49,3443527
-25,4291973;-49,2108169
-25,42935441;-49,3563122
-25,43117515;-49,24550355
-25,4326366;-49,2287143
-25,4332974;-49,2769665
-25,4333238;-49,2735589
-25,4337706;-49,2192075
-25,4338887;-49,3548562
-25,4343096;-49,2208314
-25,4351314;-49,3248778
-25,43558033;-49,35356616
-25,43613416;-49,34141403
-25,4361721;-49,350638
-25,4361721;-49,350638
-25,4361932;-49,3581513
-25,43632524;-49,28176482
-25,4375546;-49,2056423
-25,437573;-49,3357921
-25,4385361;-49,3550879
-25,4386184;-49,268701
-25,4386184;-49,268701
-25,4387796;-49,3602555
-25,43923324;-49,28345686
-25,43966265;-49,22811415
-25,4398175;-49,2217413
-25,44086915;-49,24894503
-25,4420435;-49,2046086
-25,4428069;-49,2760711
-25,44365911;-49,35351794
-25,4441672;-49,2585857
-25,44434895;-49,23872674
-25,4443731;-49,3125996
-25,44449435;-49,34529171
-25,4451651;-49,2817295
-25,4454952;-49,29600376
-25,4457819;-49,2091056
-25,4467798;-49,272313
-25,4468707;-49,2057231
-25,446994;-49,2003675
-25,447079;-49,2486123
-25,44720875;-49,29658988
-25,4473902;-49,2576338
-25,4473902;-49,2576338
-25,44748;-49,310392
-25,44760502;-49,22569726
-25,4477932;-49,2841497
-25,448706;-49,2712309
-25,44919535;-49,35258012
-25,4495167;-49,29057034
-25,4496221;-49,2470985
-25,4498564;-49,3522586
-25,4503402;-49,3542525
-25,4507621;-49,355397
-25,4508281;-49,2203569
-25,4510005;-49,2180174
-25,4511961;-49,2404295
-25,45151295;-49,23444252
-25,45181355;-49,27916895
-25,45209605;-49,31036546
-25,45209605;-49,31036546
-25,4521603;-49,21800853
-25,4532068;-49,2693535
-25,454439;-49,1974381
-25,454439;-49,1974381
-25,4545833;-49,353833
-25,4552202;-49,3452308
-25,4554276;-49,2198647
-25,4560177;-49,2197859
-25,4564288;-49,22876236
-25,4567399;-49,325859
-25,4568851;-49,35017427
-25,45696465;-49,34949288
-25,4570097;-49,2359081
-25,4570223;-49,3777598
-25,45731376;-49,37948243
-25,4579242;-49,3236476
-25,458132;-49,2050192
-25,45961425;-49,30732208
-25,4597368;-49,2999528
-25,4599466;-49,3450868
-25,4602512;-49,2120796
