Nome;Latitude;Longitude;Bairro
Estação Tubo Antonio Lago;-25,38889422;-49,23618437;Bacacheri
Estação Tubo Antonio Cavalheiros;-25,4025564;-49,24874109;Cabral
Estação Tubo Teffe;-25,41463879;-49,27944437;Bom Retiro
Estação Tubo Centro Cívico;-25,4155157;-49,26788344;Centro Cívico
Estação Tubo Constantino Dantas;-25,41787494;-49,26871346;Centro Cívico
Estação Tubo Maria Clara;-25,41958931;-49,26459162;Alto da Glória
Estação Tubo Comendador Fontana;-25,41982071;-49,26914666;Centro Cívico
Estação Tubo Mercês;-25,4223868;-49,29153256;Mercês
Estação Tubo Praça 19 de Dezembro;-25,42321968;-49,26975134;Centro Cívico
Estação Tubo China;-25,42369662;-49,20226787;Bairro Alto
Estação Tubo 29 de março;-25,42848375;-49,28484102;São Francisco
Estação Tubo Colégio Militar;-25,42898629;-49,22505126;Tarumã
Estação Tubo Praça do Expedicionário;-25,42899564;-49,25817973;Alto da Rua XV
Estação Tubo Detran;-25,43044419;-49,21126578;Capão da Imbuia
Estação Tubo Bigorrilho;-25,43336306;-49,30002098;Bigorrilho
Estação Tubo Praças Carlos Gomes;-25,43374405;-49,2702578;Centro
Estação Tubo Praça Ozório;-25,43392865;-49,27709342;Centro
Estação Tubo Vila Capanema;-25,43569921;-49,25037903;Cristo Rei
Estação Tubo Hospital Cajuru;-25,43712243;-49,2436999;Cristo Rei
Estação Tubo Praça Eufrásio Correa;-25,43767462;-49,26674008;Centro
Estação Tubo Marechal Heitor Guimarães;-25,43800648;-49,31412274;Campina do Siqueira
Estação Tubo Professora Maria Aguiar Teixeira;-25,43907462;-49,22646408;Capão da Imbuia
Estação Tubo Imperial;-25,44006778;-49,33704613;Campo Comprido
Estação Tubo Urbano Lopes;-25,44095426;-49,23669395;Bairro Jardim Botânico
Estação Tubo Unidade de Saude Campo Comprido;-25,44112831;-49,34247234;Campo Comprido
Estação Tubo Hospital Militar;-25,44228584;-49,24759029;Bairro Jardim Botânico
Estação Tubo Coronel Dulcidio;-25,44304694;-49,28047834;Água Verde
Estação Tubo Pastor Manoel Virgílio de Souza;-25,44311682;-49,21426904;Capão da Imbuia
Estação Tubo Getulio Vargas UTFPR;-25,44354895;-49,26813797;Rebouças
