ENDERECO;BAIRRO;QUANTIDADE;TIPO
AL. AUGUSTO STELLFELD;CENTRO;5;INDUSTRIA
AL. DOUTOR CARLOS DE CARVALHO;BIGORRILHO;3;INDUSTRIA
AL. DOUTOR CARLOS DE CARVALHO;CENTRO;15;INDUSTRIA
AL. DOUTOR MURICY;CENTRO;7;INDUSTRIA
AL. JÚLIA DA COSTA;BIGORRILHO;3;INDUSTRIA
AL. JÚLIA DA COSTA;MERCÊS;4;INDUSTRIA
AL. NOSSA SENHORA DO SAGRADO CORAÇÃO;PINHEIRINHO;10;INDUSTRIA
AL. PRESIDENTE TAUNAY;BIGORRILHO;8;INDUSTRIA
AL. PRINCESA IZABEL;BIGORRILHO;7;INDUSTRIA
AV. ALCIR MARTINS BASTOS;FAZENDINHA;5;INDUSTRIA
AV. ANITA GARIBALDI;AHÚ;8;INDUSTRIA
AV. ANITA GARIBALDI;BARREIRINHA;6;INDUSTRIA
AV. ANITA GARIBALDI;BOA VISTA;6;INDUSTRIA
AV. ANITA GARIBALDI;CABRAL;5;INDUSTRIA
AV. ANITA GARIBALDI;SÃO LOURENÇO;7;INDUSTRIA
AV. BRASÍLIA;CAPÃO RASO;4;INDUSTRIA
AV. BRASÍLIA;NOVO MUNDO;15;INDUSTRIA
AV. CANAL BELEM;BOQUEIRÃO;12;INDUSTRIA
AV. CANAL BELEM;UBERABA;6;INDUSTRIA
AV. CANDIDO DE ABREU;CENTRO CÍVICO;29;INDUSTRIA
AV. COMENDADOR FRANCO;GUABIROTUBA;3;INDUSTRIA
AV. COMENDADOR FRANCO;JARDIM BOTÂNICO;4;INDUSTRIA
AV. COMENDADOR FRANCO;JARDIM DAS AMÉRICAS;3;INDUSTRIA
AV. COMENDADOR FRANCO;UBERABA;7;INDUSTRIA
AV. CORONEL FRANCISCO H DOS SANTOS;JARDIM DAS AMÉRICAS;5;INDUSTRIA
AV. CÂNDIDO HARTMANN;BIGORRILHO;8;INDUSTRIA
AV. CÂNDIDO HARTMANN;MERCÊS;3;INDUSTRIA
AV. CÂNDIDO HARTMANN;SANTA FELICIDADE;5;INDUSTRIA
AV. DA INTEGRAÇÃO;BAIRRO ALTO;14;INDUSTRIA
AV. DA REPÚBLICA;GUAÍRA;5;INDUSTRIA
AV. DA REPÚBLICA;PORTÃO;3;INDUSTRIA
AV. DAS INDÚSTRIAS;CIDADE INDUSTRIAL;13;INDUSTRIA
AV. DESEMBARGADOR HUGO SIMAS;BOM RETIRO;5;INDUSTRIA
AV. DESEMBARGADOR HUGO SIMAS;PILARZINHO;3;INDUSTRIA
