BAIRRO;counts;TIPO
***;292;INDUSTRIA
ABRANCHES;53;INDUSTRIA
AHÚ;55;INDUSTRIA
ALTO BOQUEIRÃO;208;INDUSTRIA
ALTO DA GLÓRIA;32;INDUSTRIA
ALTO DA RUA XV;82;INDUSTRIA
ATUBA;75;INDUSTRIA
AUGUSTA;14;INDUSTRIA
Alto Boqueirão;1;INDUSTRIA
BACACHERI;131;INDUSTRIA
BAIRRO ALTO;206;INDUSTRIA
BARREIRINHA;66;INDUSTRIA
BATEL;100;INDUSTRIA
BIGORRILHO;118;INDUSTRIA
BOA VISTA;146;INDUSTRIA
BOM RETIRO;57;INDUSTRIA
BOQUEIRÃO;1030;INDUSTRIA
BUTIATUVINHA;74;INDUSTRIA
CABRAL;49;INDUSTRIA
CACHOEIRA;22;INDUSTRIA
CAJURU;429;INDUSTRIA
CAMPINA DO SIQUEIRA;41;INDUSTRIA
CAMPO COMPRIDO;109;INDUSTRIA
CAMPO DE SANTANA;127;INDUSTRIA
CAPAO DA IMBUIA;1;INDUSTRIA
CAPÃO DA IMBUIA;121;INDUSTRIA
CAPÃO RASO;253;INDUSTRIA
CASCATINHA;8;INDUSTRIA
CAXIMBA;18;INDUSTRIA
CENTRO;303;INDUSTRIA
CENTRO CÍVICO;56;INDUSTRIA
CIDADE INDUSTRIAL;1271;INDUSTRIA
CRISTO REI;59;INDUSTRIA
Cajuru;5;INDUSTRIA
Cidade Industrial;7;INDUSTRIA
FANNY;130;INDUSTRIA
FAZENDINHA;211;INDUSTRIA
GANCHINHO;72;INDUSTRIA
GUABIROTUBA;75;INDUSTRIA
GUAÍRA;102;INDUSTRIA
Ganchinho;1;INDUSTRIA
HAUER;268;INDUSTRIA
HUGO LANGE;35;INDUSTRIA
JARDIM BOTÂNICO;44;INDUSTRIA
JARDIM DAS AMÉRICAS;76;INDUSTRIA
JARDIM SOCIAL;23;INDUSTRIA
JUVEVÊ;49;INDUSTRIA
LAMENHA PEQUENA;6;INDUSTRIA
LINDÓIA;47;INDUSTRIA
MERCÊS;119;INDUSTRIA
MOSSUNGUÊ;63;INDUSTRIA
NOVO MUNDO;300;INDUSTRIA
Novo Mundo;1;INDUSTRIA
ORLEANS;64;INDUSTRIA
PAROLIN;104;INDUSTRIA
PILARZINHO;119;INDUSTRIA
PINHEIRINHO;336;INDUSTRIA
PORTÃO;272;INDUSTRIA
PRADO VELHO;69;INDUSTRIA
REBOUÇAS;167;INDUSTRIA
SANTA CÂNDIDA;146;INDUSTRIA
SANTA FELICIDADE;221;INDUSTRIA
SANTA QUITÉRIA;77;INDUSTRIA
SANTO INÁCIO;51;INDUSTRIA
SEMINÁRIO;48;INDUSTRIA
SÃO BRAZ;132;INDUSTRIA
SÃO FRANCISCO;62;INDUSTRIA
SÃO JOÃO;16;INDUSTRIA
SÃO LOURENÇO;24;INDUSTRIA
SÃO MIGUEL;2;INDUSTRIA
SÍTIO CERCADO;525;INDUSTRIA
