Nome;Latitude;Longitude;Tipo;Categoria;Coordenadas;
Tingui;-25,38965577;-49,30543349;Parque;Público;lat=-25,3896557694452&lon=-49,3054334850156;São João
Caiua;-25,48848175;-49,35173631;Parque;Público;lat=-25,4884817452126&lon=-49,3517363080239;Cidade Industrial de Curitiba
Diadema;-25,49104651;-49,34829225;Parque;Público;lat=-25,491046505741&lon=-49,3482922456849;São Miguel
Tropeiros;-25,49519207;-49,3579695;Parque;Público;lat=-25,4951920741654&lon=-49,3579694980571;São Miguel
Tangua;-25,37859348;-49,28542201;Parque;Público;lat=-25,3785934763156&lon=-49,285422011789;Pilarzinho
Cajuru;-25,45907837;-49,19346537;Parque;Público;lat=-25,4590783665571&lon=-49,1934653659834;Cajuru
Atuba;-25,38050575;-49,20716417;Parque;Público;lat=-25,3805057499086&lon=-49,2071641715208;Atuba
Cambui;-25,47888014;-49,32905172;Parque;Público;lat=-25,4788801417679&lon=-49,3290517243307;Fazendinha
Gomm;-25,4421787;-49,29137423;Parque;Público;lat=-25,4421787002808&lon=-49,2913742267664;Batel
Bacacheri;-25,38985213;-49,22962206;Parque;Público;lat=-25,3898521300211&lon=-49,2296220576089;Bacacheri
zoologico;-25,55791139;-49,23305374;Zoológico;Público;lat=-25,5579113859584&lon=-49,2330537393149;Alto Boqueirão
biblioteca publica;-25,43104974;-49,27351527;Biblioteca;Público;lat=-25,4310497439791&lon=-49,2735152732266;Centro
Museu do expedicionário;-25,42868583;-49,25855283;Museu;Público;lat=-25,4286858309485&lon=-49,2585528327434;Centro
Museu paranaense;-25,42760644;-49,27614416;Museu;Público;lat=-25,4276064418618&lon=-49,2761441578858;São Francisco
Museu Oscar Niemeyer;-25,41034496;-49,26720393;Museu;Público;lat=-25,4103449566619&lon=-49,2672039308973;Centro Cívico
Museu do Holocausto;-25,41530817;-49,2725855;Museu;Público;lat=-25,415308169921&lon=-49,2725855020621;Bom Retiro
Museu de Arte Contemporânea;-25,43325044;-49,27288296;Museu;Público;lat=-25,4332504416776&lon=-49,2728829597321;Centro
Museu Egípcio;-25,3906465;-49,226061;Museu;Público;lat=-25,3906465012087&lon=-49,2260610039086;Bacacheri
Museu da Imagem e Som;-25,43333834;-49,26767747;Museu;Público;lat=-25,4333383415857&lon=-49,2676774732264;Centro
Museu do Automóvel;-25,4229632;-49,30613344;Museu;Público;lat=-25,4229632029395&lon=-49,3061334443915;Bigorrilho
Museu da Arte Sacra;-25,42770997;-49,27225126;Museu;Público;lat=-25,4277099684346&lon=-49,2722512615784;São Francisco
Museu Alfredo Andersen;-25,42477889;-49,27119366;Museu;Público;lat=-25,4247788915224&lon=-49,2711936597321;São Francisco
Museu de História Natural;-25,43723821;-49,21890144;Museu;Público;lat=-25,4372382055227&lon=-49,2189014370925;Capão da Imbuia
Museu da Gravura;-25,42629012;-49,27005154;Museu;Público;lat=-25,4262901215404&lon=-49,2700515443914;Centro
Museu de Arte Indígena;-25,45407648;-49,28541359;Museu;Público;lat=-25,4540764837728&lon=-49,2854135885667;Água Verde
Memorial de Curitiba;-25,42777809;-49,27274186;Museu;Público;lat=-25,427778089351&lon=-49,2727418578857;São Francisco
Museu Botânico;-25,44305131;-49,23460845;Museu;Público;lat=-25,4430513110904&lon=-49,234608451808;Jardim Botânico
Passauna;-25,53425999;-49,38225613;Parque;Público;lat=-25,534259992278&lon=-49,382256129982;Augusta
Palladium;-25,47879371;-49,2897566;Cinema;Privado;lat=-25,4787937056913&lon=-49,289756597692;Portão
Ventura;-25,47955389;-49,29304837;Cinema;Privado;lat=-25,4795538876246&lon=-49,293048369888;Portão
Cidade;-25,47347881;-49,25191515;Cinema;Privado;lat=-25,4734788110114&lon=-49,2519151517814;Hauer
Boulevard;-25,4980783;-49,27599011;Cinema;Privado;lat=-25,4980782965148&lon=-49,2759901078832;Xaxim
Jardim das Américas;-25,45094079;-49,22852224;Cinema;Privado;lat=-25,4509407890619&lon=-49,2285222387048;Jardim das Américas
Shopping & Sports;-25,51869822;-49,25560925;Cinema;Privado;lat=-25,5186982233283&lon=-49,2556092463734;Xaxim
São José;-25,53874467;-49,20428622;Cinema;Privado;lat=-25,5387446670506&lon=-49,2042862218068;Centro
Jockey Plaza;-25,42704415;-49,21612882;Cinema;Privado;lat=-25,4270441481449&lon=-49,2161288219201;Tarumã
Cinemateca;-30,03638685;-51,22846212;Cinema;Privado;lat=-30,0363868546284&lon=-51,2284621192848;Centro Histórico
Estação;-25,43860546;-49,26721591;Cinema;Privado;lat=-25,4386054616476&lon=-49,2672159120043;Rebouças
Curitiba;-25,44121222;-49,27726331;Cinema;Privado;lat=-25,4412122176439&lon=-49,2772633138496;Centro
Mueller;-25,4227289;-49,27027777;Cinema;Privado;lat=-25,4227288993237&lon=-49,2702777739432;Centro Cívico
Pátio Batel;-25,44288104;-49,28956876;Cinema;Privado;lat=-25,4428810422622&lon=-49,2895687573356;Batel
Novo Batel;-25,43840709;-49,28338502;Cinema;Privado;lat=-25,4384070868947&lon=-49,2833850193854;Batel
Crystal;-25,43929286;-49,28127544;Cinema;Privado;lat=-25,4392928554122&lon=-49,28127544453;Batel
Barigui;-25,43590742;-49,31617179;Cinema;Privado;lat=-25,4359074160932&lon=-49,3161717923959;Mossunguê
Couto Pereira;-25,42127627;-49,25896532;Estádio;Privado;lat=-25,4212762749043&lon=-49,2589653181186;Alto da Glória
Arena da Baixada;-25,44836659;-49,2769115;Estádio;Privado;lat=-25,4483665893609&lon=-49,2769115003546;Água Verde
Durival Britto e Silva;-25,43992566;-49,2559442;Estádio;Privado;lat=-25,4399256567621&lon=-49,2559442040452;Bairro Jardim Botânico
Guaira;-25,42836115;-49,26526835;Teatro;Privado;lat=-25,428361146711&lon=-49,2652683543344;Centro
Positivo;-25,44654389;-49,35658087;Teatro;Privado;lat=-25,4465438917083&lon=-49,3565808715196;Cidade Industrial de Curitiba
Guarinha;-25,42838053;-49,26500013;Teatro;Privado;lat=-25,4283805256233&lon=-49,2650001334585;Centro
Lala Schneider;-25,42692985;-49,27188301;Teatro;Privado;lat=-25,4269298524253&lon=-49,2718830101593;São Francisco
Ópera de Arame;-25,38447663;-49,27631427;Casa de espetáculos;Privado;lat=-25,384476628002&lon=-49,2763142692496;Pilarzinho
Capela Santa Maria;-25,4293915;-49,26531393;Casa de espetáculos;Privado;lat=-25,4293914988019&lon=-49,2653139345894;Centro
Paiol;-25,4479469;-49,25753677;Teatro;Privado;lat=-25,4479469043771&lon=-49,2575367732213;Prado Velho
Fernanda Montenegro;-25,43834656;-49,28380136;Teatro;Privado;lat=-25,4383465590205&lon=-49,2838013578855;Batel
Regina Vogue;-25,43775607;-49,26689031;Teatro;Privado;lat=-25,4377560744435&lon=-49,2668903081706;Centro
Puc;-25,45135768;-49,25202781;Teatro;Privado;lat=-25,4513576788708&lon=-49,252027813838;Prado Velho
Pedreira Paulo Leminski;-25,38417207;-49,27750449;Casa de espetáculos;Privado;lat=-25,3841720720168&lon=-49,2775044885681;Pilarzinho
AABB;-25,42811969;-49,23182647;Clube;Privado;lat=-25,4281196891037&lon=-49,2318264732265;Tarumã
