LATITUDE;LONGITUDE
-25,38965577;-49,30543349
-25,48848175;-49,35173631
-25,49104651;-49,34829225
-25,49519207;-49,3579695
-25,37859348;-49,28542201
-25,45907837;-49,19346537
-25,38050575;-49,20716417
-25,47888014;-49,32905172
-25,4421787;-49,29137423
-25,38985213;-49,22962206
-25,55791139;-49,23305374
-25,43104974;-49,27351527
-25,42868583;-49,25855283
-25,42760644;-49,27614416
-25,41034496;-49,26720393
-25,41530817;-49,2725855
-25,43325044;-49,27288296
-25,3906465;-49,226061
-25,43333834;-49,26767747
-25,4229632;-49,30613344
-25,42770997;-49,27225126
-25,42477889;-49,27119366
-25,43723821;-49,21890144
-25,42629012;-49,27005154
-25,45407648;-49,28541359
-25,42777809;-49,27274186
-25,44305131;-49,23460845
-25,53425999;-49,38225613
-25,39771477;-49,24924657
-25,4090314;-49,26949807
-25,43627793;-49,21958939
-25,41215759;-49,2885097
-25,4892885;-49,26058239
-25,39106874;-49,27812256
-25,39710269;-49,28272851
-25,54511039;-49,26969517
-25,41557196;-49,23335935
-25,47483982;-49,32300689
-25,4046707;-49,28784778
-25,40732472;-49,3341972
-25,50900126;-49,31534984
-25,49665327;-49,34803181
-25,41174022;-49,21792176
-25,48106817;-49,30268664
-25,57426245;-49,26832966
-25,42540562;-49,26731721
-25,42455617;-49,30655161
-25,36064258;-49,257571
-25,38306604;-49,26688489
-25,52380508;-49,22308439
-25,38855702;-49,23167285
-25,38420908;-49,27540549
-25,44230459;-49,23620908
-25,35196898;-49,26605755
