LATITUDE;LONGITUDE
-25,42028815;-49,2922398
-25,44233976;-49,29800131
-25,4048207;-49,27079298
-25,46313807;-49,29962974
-25,43780627;-49,28876811
-25,42834905;-49,24057897
-25,42420903;-49,2619478
-25,42998712;-49,27945774
-25,43786078;-49,28684422
-25,45338986;-49,238806
-25,45092692;-49,2920164
-25,44565674;-49,27620523
-25,46495743;-49,29084537
-25,41746485;-49,2205665
-25,43597126;-49,24628643
-25,42789013;-49,24548577
-25,45535195;-49,29774097
-25,42187591;-49,29076952
-25,48695609;-49,29452984
-25,4155308;-49,2789642
-25,46190973;-49,2882599
-25,4378491;-49,2727627
-25,44461438;-49,29085775
-25,41178285;-49,25713967
-25,43531971;-49,28015073
-25,44316531;-49,27336759
-25,43429225;-49,29228783
-25,43767994;-49,28688909
-25,40756985;-49,21775124
-25,49657776;-49,31794408
-25,42660225;-49,25275471
