LATITUDE;LONGITUDE;QUANTIDADE
-25,6696118;-49,3066194;5
-25,6669312;-49,3046728;14
-25,6534466;-49,3089203;8
-25,6172574;-49,3515743;16
-25,61712604;-49,3519417;9
-25,5997155;-49,3301001;28
-25,5971914;-49,2609921;8
-25,5951268;-49,3289774;10
-25,5949881;-49,3254584;11
-25,5920395;-49,3370105;41
-25,5917069;-49,3379638;7
-25,5911969;-49,3394653;45
-25,5910072;-49,3401794;62
-25,5909664;-49,3428718;80
-25,5885591;-49,3328525;21
-25,5877365;-49,327869;84
-25,5874632;-49,324193;42
-25,5851102;-49,3379033;33
-25,5843738;-49,3229751;20
-25,5801304;-49,3205252;9
-25,5796706;-49,3361485;6
-25,579268;-49,3202193;11
-25,5788258;-49,337871;6
-25,5772132;-49,3321452;46
-25,5766141;-49,3231661;6
-25,5762172;-49,2639948;6
-25,5756889;-49,336774;175
-25,5752582;-49,3313351;11
-25,5742764;-49,3348542;170
-25,5734211;-49,3409276;44
-25,5730389;-49,3351759;148
-25,5716248;-49,3384166;6
-25,5715173;-49,332036;7
-25,5692162;-49,32935;12
-25,5681051;-49,3214436;61
-25,5665882;-49,3372759;6
-25,566568;-49,2819722;34
-25,5664921;-49,3392181;132
-25,566131;-49,2879437;31
-25,56576473;-49,33388109;21
-25,5654293;-49,3377445;61
-25,5652303;-49,315154;178
-25,564328;-49,3408229;41
-25,5639643;-49,2500073;7
-25,5636248;-49,3089024;72
-25,5617879;-49,3134378;11
-25,5617208;-49,3152273;118
-25,5615148;-49,3121649;8
-25,5610538;-49,3081358;6
-25,5600737;-49,3270709;37
-25,55999773;-49,32478577;14
-25,559874;-49,3159266;15
-25,5597542;-49,3165637;8
-25,5596296;-49,3139891;32
-25,5595167;-49,2530074;7
-25,55940255;-49,331307;46
-25,55932267;-49,31848612;16
-25,5589008;-49,3313455;124
-25,5588526;-49,3412284;28
-25,5588141;-49,252797;6
-25,5585288;-49,262304;12
-25,5581516;-49,3218073;14
-25,5578566;-49,3063805;6
-25,55785388;-49,26114356;14
-25,5577147;-49,2515779;40
-25,5575816;-49,2614623;30
-25,557024;-49,3209422;5
-25,556994;-49,2615687;23
-25,5562351;-49,2792387;22
-25,5561726;-49,2495988;5
-25,556012;-49,2863527;21
-25,5557626;-49,2577274;31
-25,55544;-49,2656707;18
-25,5554122;-49,2566573;16
-25,5543156;-49,2952443;81
-25,5540379;-49,2667723;6
-25,5539298;-49,2544663;17
-25,5528589;-49,250452;120
-25,5525172;-49,2635801;74
-25,5523615;-49,2757437;29
-25,5518067;-49,3334788;53
-25,55178132;-49,23477237;56
-25,5516273;-49,2553659;57
-25,5511916;-49,2985943;15
-25,5509388;-49,2546934;364
-25,5507582;-49,2497302;10
-25,5504385;-49,2653207;6
-25,5504124;-49,2709773;12
-25,5502427;-49,2458086;6
-25,5500331;-49,2489907;9
-25,5494387;-49,2596843;28
-25,5472719;-49,2709916;44
-25,5465064;-49,2627902;7
-25,5463474;-49,2685492;48
-25,5460996;-49,2631334;66
-25,5460051;-49,2479516;9
-25,5453413;-49,2649329;65
-25,5452058;-49,2648024;601
-25,5449824;-49,3388271;24
-25,5442128;-49,2771041;28
-25,544066;-49,2810614;77
-25,5439459;-49,2629607;7
-25,54378184;-49,26899019;13
-25,5434313;-49,2502128;47
-25,5432852;-49,18197268;8
-25,5432587;-49,260851;99
-25,5431219;-49,2623357;45
-25,5429869;-49,2443175;14
-25,5428421;-49,28429589;6
-25,542832;-49,2671472;58
-25,5425105;-49,3130045;10
-25,5417318;-49,2558316;74
-25,5416493;-49,3397149;11
-25,5415602;-49,2618121;24
-25,5414305;-49,2743368;12
-25,5414297;-49,2779143;12
-25,5409296;-49,2535225;17
-25,5406859;-49,2404057;25
-25,5404023;-49,2322364;8
-25,54029488;-49,27414522;7
-25,5402043;-49,2880469;7
-25,5400689;-49,2703357;24
-25,5395187;-49,2496769;5
-25,5391841;-49,2480773;5
-25,5377233;-49,2731361;30
-25,537217;-49,2371672;41
-25,5368077;-49,2711251;20
-25,5366726;-49,2407001;7
-25,5366276;-49,2574015;7
-25,5362528;-49,2613776;13
-25,5360391;-49,25302;18
-25,5359803;-49,2317514;15
-25,5359067;-49,2562476;18
-25,535652;-49,2806312;100
-25,5353788;-49,283017;91
-25,5353695;-49,2434914;22
-25,5352263;-49,2989505;21
-25,5349188;-49,2893847;12
-25,5348349;-49,26836;88
-25,5344637;-49,2397583;10
-25,5337929;-49,2395147;25
-25,5336771;-49,2593192;5
-25,5335419;-49,2801926;8
-25,5333101;-49,19766072;33
-25,5325375;-49,2719298;14
-25,5323406;-49,2671396;57
-25,5323069;-49,2424469;5
-25,532223;-49,2779399;132
-25,5320968;-49,257285;38
-25,5320249;-49,2649029;7
-25,5319936;-49,2821255;9
-25,5317962;-49,2630513;12
-25,5315375;-49,3328267;19
-25,531157;-49,2643196;138
-25,5310354;-49,2551943;51
-25,531017;-49,2341962;10
-25,5306044;-49,2953218;15
-25,5305773;-49,2762412;5
-25,5302629;-49,2828495;23
-25,5302244;-49,3354421;210
-25,5301814;-49,3370718;28
-25,5297681;-49,3401528;15
-25,5297422;-49,2709759;35
-25,5297124;-49,2465282;10
-25,5296769;-49,2488227;364
-25,5296144;-49,3383829;11
-25,5289001;-49,2882106;37
-25,52882802;-49,25465268;6
-25,52874658;-49,32707255;21
-25,5286507;-49,2862228;13
-25,52852626;-49,33395169;5
-25,528515;-49,2594117;9
-25,52848889;-49,24148773;18
-25,5283532;-49,2340586;6
-25,5281648;-49,2335911;10
-25,5280988;-49,2609099;11
-25,5279824;-49,2697594;27
-25,5279228;-49,2738362;7
-25,5279052;-49,2724496;41
-25,5275945;-49,2400875;164
-25,5272333;-49,2713286;10
-25,5269702;-49,2466554;17
-25,5269142;-49,2931525;456
-25,5269106;-49,2654022;19
-25,5267251;-49,2447079;7
-25,526162;-49,234062;273
-25,52597765;-49,29742144;15
-25,5254761;-49,28579;23
-25,52542276;-49,2594763;13
-25,5250821;-49,2314907;40
-25,5246986;-49,2665336;6
-25,52443;-49,2671477;126
-25,5242114;-49,2264415;6
-25,5234903;-49,2637097;19
-25,523236;-49,3333697;63
-25,5224719;-49,3041129;10
-25,5223227;-49,2367586;12
-25,5223202;-49,3338867;19
-25,521903;-49,2718229;141
-25,5215442;-49,261205;18
-25,5212447;-49,2702108;11
-25,5210284;-49,2792737;9
-25,5206306;-49,3060552;20
-25,5203434;-49,2613497;24
-25,5195884;-49,273917;19
-25,519392;-49,2705277;5
-25,5191161;-49,2867489;36
-25,5186898;-49,3007143;14
-25,5186366;-49,2711432;6
-25,518584;-49,3084411;20
-25,5183307;-49,3215792;60
-25,5179261;-49,2300255;83
-25,51786836;-49,23641406;5
-25,5176802;-49,2666848;16
-25,517271;-49,2393175;20
-25,5170729;-49,2939688;11
-25,5168979;-49,3249164;45
-25,5168657;-49,2738037;9
-25,5162944;-49,1943593;52
-25,5161712;-49,3043876;9
-25,5161268;-49,231012;15
-25,5153456;-49,3290117;7
-25,5151988;-49,279437;9
-25,51511;-49,2939409;25
-25,5150263;-49,3098076;8
-25,5148056;-49,328943;269
-25,5145843;-49,3258214;28
-25,51333685;-49,28994652;20
-25,5129602;-49,3324971;22
-25,5128356;-49,3026315;5
-25,5127905;-49,3365458;7
-25,5122558;-49,2662323;29
-25,5121824;-49,2211986;9
-25,5121079;-49,3230556;29
-25,5120477;-49,3026918;12
-25,5116029;-49,2197549;16
-25,5109569;-49,3263547;87
-25,5109444;-49,2675507;8
-25,5105418;-49,3262167;229
-25,5104124;-49,3266525;9
-25,510322;-49,2565573;19
-25,5102503;-49,2715538;7
-25,5102466;-49,2973539;7
-25,5099906;-49,2575155;19
-25,5096016;-49,3270459;5
-25,5094296;-49,3008579;7
-25,5090895;-49,2918462;24
-25,5089199;-49,2241832;88
-25,507973;-49,271521;11
-25,50788605;-49,33218177;11
-25,50740871;-49,2853322;24
-25,5073549;-49,3353994;12
-25,5071471;-49,2250907;12
-25,5070593;-49,3541728;47
-25,5068987;-49,3045659;63
-25,5065475;-49,2209002;72
-25,5062799;-49,2283548;9
-25,5060155;-49,3501561;7
-25,5057709;-49,2795242;21
-25,5053557;-49,345243;9
-25,5052053;-49,2609885;10
-25,5046499;-49,3412883;7
-25,5046078;-49,3249503;39
-25,5042903;-49,2958742;595
-25,5035808;-49,3234303;15
-25,5032299;-49,2371718;25
-25,5032292;-49,3246809;5
-25,5031519;-49,3532967;5
-25,5030639;-49,2367563;48
-25,5024573;-49,3019342;12
-25,50242142;-49,30193193;6
-25,5022514;-49,238133;5
-25,5021441;-49,2508718;5
-25,5021351;-49,287033;37
-25,501942;-49,215186;13
-25,50192803;-49,34774082;11
-25,5016852;-49,2216116;6
-25,5016839;-49,3275081;6
-25,5016358;-49,2082049;90
-25,501537;-49,3161301;22
-25,5015234;-49,2388357;11
-25,5011166;-49,3492643;20
-25,5008668;-49,2161684;12
-25,500775;-49,236573;66
-25,5005673;-49,23795702;28
-25,5005321;-49,2656654;5
-25,5005195;-49,3235619;35
-25,5002515;-49,2298732;204
-25,4998761;-49,2343498;8
-25,4993279;-49,3154288;13
-25,4985847;-49,2623348;11
-25,4985457;-49,2185222;100
-25,4982002;-49,3446108;8
-25,49811168;-49,35764159;10
-25,4980592;-49,3082701;108
-25,4979894;-49,3083502;5
-25,497933;-49,2944889;68
-25,4977857;-49,3388925;53
-25,4973327;-49,2278431;11
-25,4970131;-49,3552624;192
-25,49660765;-49,20024043;8
-25,49656948;-49,20105;7
-25,4965626;-49,2716978;108
-25,4965581;-49,2010496;5
-25,4961899;-49,3212645;8
-25,49601815;-49,29475794;12
