LATITUDE;LONGITUDE;QUANTIDADE
-25,6696118;-49,3066194;3
-25,6669312;-49,3046728;4
-25,6534466;-49,3089203;45
-25,6512431;-49,1858565;3
-25,6172574;-49,3515743;8
-25,5997155;-49,3301001;6
-25,5959792;-49,3473215;2
-25,5951268;-49,3289774;2
-25,5927586;-49,3349866;2
-25,5920395;-49,3370105;2
-25,5919458;-49,3447391;2
-25,5917069;-49,3379638;2
-25,5914673;-49,3430006;3
-25,5911969;-49,3394653;4
-25,5910072;-49,3401794;6
-25,5909255;-49,3361772;2
-25,5907001;-49,3291941;4
-25,5892828;-49,3303767;4
-25,5877365;-49,327869;8
-25,5874632;-49,324193;6
-25,5872926;-49,3408179;3
-25,5857235;-49,3358635;2
-25,5851102;-49,3379033;9
-25,5843738;-49,3229751;2
-25,5814224;-49,3240938;3
-25,5813426;-49,3293978;2
-25,5812259;-49,3189374;2
-25,5806983;-49,332764;2
-25,5801304;-49,3205252;2
-25,5796706;-49,3361485;2
-25,5772132;-49,3321452;4
-25,5769164;-49,3339436;4
-25,5763284;-49,3294052;2
-25,5762172;-49,2639948;8
-25,5756889;-49,336774;18
-25,5752582;-49,3313351;8
-25,574377;-49,3343048;3
-25,5742764;-49,3348542;9
-25,5735837;-49,3379531;3
-25,5735211;-49,3404609;2
-25,5730389;-49,3351759;9
-25,5716248;-49,3384166;2
-25,5715173;-49,332036;6
-25,5700544;-49,3196208;2
-25,5693929;-49,3357371;3
-25,5681051;-49,3214436;4
-25,5671904;-49,3297561;2
-25,5665882;-49,3372759;3
-25,566568;-49,2819722;4
-25,5664921;-49,3392181;9
-25,566131;-49,2879437;6
-25,5654293;-49,3377445;2
-25,5652303;-49,315154;9
-25,564916;-49,3357154;4
-25,5646967;-49,3116714;3
-25,564328;-49,3408229;11
-25,5639643;-49,2500073;12
-25,5630348;-49,3392743;2
-25,5621263;-49,3385241;5
-25,5617879;-49,3134378;2
-25,5617208;-49,3152273;2
-25,5600737;-49,3270709;10
-25,56002;-49,2545416;2
-25,55999773;-49,32478577;6
-25,559874;-49,3159266;4
-25,5598536;-49,3353374;2
-25,5596296;-49,3139891;7
-25,5589008;-49,3313455;17
-25,5588526;-49,3412284;10
-25,5588141;-49,252797;7
-25,5586196;-49,284715;3
-25,5581516;-49,3218073;14
-25,5579549;-49,2788241;2
-25,5578629;-49,2638027;4
-25,5578566;-49,3063805;2
-25,5575466;-49,2480288;2
-25,5574742;-49,2627063;2
-25,557256;-49,2822219;3
-25,556994;-49,2615687;6
-25,5569911;-49,2511161;2
-25,5567865;-49,2823506;5
-25,5566922;-49,2654603;2
-25,5565469;-49,2638462;2
-25,5564276;-49,3382343;2
-25,556358;-49,2640785;3
-25,5562351;-49,2792387;5
-25,5561726;-49,2495988;5
-25,5560955;-49,3233072;2
-25,5556825;-49,2763498;5
-25,55544;-49,2656707;2
-25,5554122;-49,2566573;2
-25,5543156;-49,2952443;4
-25,5541322;-49,3346962;2
-25,5540687;-49,337835;2
-25,5540379;-49,2667723;8
-25,5539298;-49,2544663;2
-25,5538941;-49,2602928;2
-25,5529282;-49,2469037;4
-25,5528589;-49,250452;22
-25,5528205;-49,2462833;7
-25,5525172;-49,2635801;9
-25,5523992;-49,2599047;6
-25,5523615;-49,2757437;4
-25,5521806;-49,3388526;2
-25,5518758;-49,2524566;2
-25,5518067;-49,3334788;6
-25,551791;-49,23480456;13
-25,5516497;-49,2910243;3
-25,5513892;-49,2709083;2
-25,5513759;-49,2680448;5
-25,5511916;-49,2985943;3
-25,5509388;-49,2546934;38
-25,5505829;-49,2953055;3
-25,5504124;-49,2709773;2
-25,5503057;-49,2645864;2
