LATITUDE;LONGITUDE
-25,53267671;-49,29823389
-25,4322965;-49,29822666
-25,46495904;-49,29819062
-25,38564941;-49,29815204
-25,47433689;-49,29813809
-25,49637171;-49,29799861
-25,533619;-49,29785716
-25,44950582;-49,29782861
-25,51231864;-49,2977935
-25,46588657;-49,29774004
-25,52568197;-49,29758291
-25,53456129;-49,29748042
-25,46681411;-49,29728945
-25,43192051;-49,29723178
-25,38539255;-49,29712207
-25,47405172;-49,29710431
-25,53550358;-49,29710368
-25,49598478;-49,29703081
-25,52485351;-49,29700558
-25,44913714;-49,29687115
-25,46774165;-49,29683887
-25,53644587;-49,29672694
-25,51232728;-49,29672143
-25,52402504;-49,29642825
-25,46866918;-49,29638829
-25,53738817;-49,29635021
-25,43154451;-49,29623689
-25,38513569;-49,29609211
-25,47376656;-49,29607053
-25,49559785;-49,29606301
-25,5239738;-49,29602366
-25,53833046;-49,29597347
-25,46959672;-49,2959377
-25,44876845;-49,29591368
-25,52319658;-49,29585092
-25,51233592;-49,29564936
-25,53927275;-49,29559673
-25,47052426;-49,29548712
-25,52236811;-49,2952736
-25,43116852;-49,295242
-25,54021504;-49,29522
-25,52459448;-49,29520225
-25,49521093;-49,29509521
-25,38487882;-49,29506214
-25,4734814;-49,29503675
-25,47282464;-49,29503675
-25,47145179;-49,29503654
-25,47387223;-49,29499345
-25,44839977;-49,29495621
-25,47491982;-49,29495014
-25,47596741;-49,29490684
-25,477015;-49,29486354
-25,54115733;-49,29484326
-25,47806258;-49,29482024
-25,47911017;-49,29477694
-25,48015776;-49,29473363
-25,48120535;-49,29469033
-25,48225294;-49,29464703
-25,48330053;-49,29460373
-25,47237933;-49,29458596
-25,51234456;-49,29457729
-25,48434811;-49,29456043
-25,4853957;-49,29451712
-25,48644329;-49,29447382
-25,54209962;-49,29446652
-25,48749088;-49,29443052
-25,48853847;-49,29438722
-25,52521516;-49,29438084
-25,48958605;-49,29434391
-25,49063364;-49,29430061
-25,49168123;-49,29425731
-25,43079253;-49,29424712
-25,49272882;-49,29421401
-25,49377641;-49,29417071
-25,47330687;-49,29413537
-25,494824;-49,2941274
-25,494824;-49,2941274
-25,54304192;-49,29408978
-25,38462196;-49,29403217
-25,44803109;-49,29399875
-25,54398421;-49,29371305
-25,4742344;-49,29368479
-25,52583584;-49,29355944
-25,5123532;-49,29350522
-25,5449265;-49,29333631
-25,43041654;-49,29325223
-25,44766241;-49,29304128
-25,3843651;-49,2930022
-25,54586879;-49,29295957
-25,52645652;-49,29273803
-25,54681108;-49,29258284
-25,51236184;-49,29243315
-25,43004054;-49,29225734
-25,54775338;-49,2922061
-25,44729373;-49,29208382
-25,38410824;-49,29197223
-25,5270772;-49,29191662
-25,54869567;-49,29182936
-25,54963796;-49,29145262
-25,51237048;-49,29136108
-25,42966455;-49,29126246
-25,44692504;-49,29112635
-25,52769788;-49,29109522
-25,55058025;-49,29107589
-25,4502433;-49,29100653
-25,38385137;-49,29094227
-25,55152254;-49,29069915
-25,55246483;-49,29032241
-25,51237911;-49,29028901
-25,52831856;-49,29027381
-25,42928856;-49,29026757
-25,44655636;-49,29016889
-25,44988675;-49,29004223
-25,55340713;-49,28994568
-25,38359451;-49,2899123
-25,55434942;-49,28956894
-25,52893924;-49,28945241
-25,42891257;-49,28927268
-25,51238775;-49,28921694
-25,44618768;-49,28921142
-25,55529171;-49,2891922
-25,44953021;-49,28907794
-25,46915065;-49,2890196
-25,38333765;-49,28888233
-25,556234;-49,28881546
-25,52955992;-49,288631
-25,55717629;-49,28843873
-25,46835536;-49,28836127
-25,42853657;-49,2882778
-25,445819;-49,28825396
-25,47119463;-49,28815253
-25,44917366;-49,28811364
-25,55811858;-49,28806199
-25,45106531;-49,28790304
-25,38308079;-49,28785236
-25,38308079;-49,28785236
-25,5301806;-49,28780959
-25,46756007;-49,28770293
-25,55906088;-49,28768525
-25,4703327;-49,28755477
-25,56000317;-49,28730852
-25,44545032;-49,28729649
-25,44881712;-49,28714934
-25,46676477;-49,2870446
-25,53080128;-49,28698819
