Latitude;Longitude;Bairro
-25,53267671;-49,29823389;Pinheirinho
-25,4322965;-49,29822666;Bigorrilho
-25,46495904;-49,29819062;Vila Izabel
-25,38564941;-49,29815204;Pilarzinho
-25,47433689;-49,29813809;Portão
-25,49637171;-49,29799861;Novo Mundo
-25,533619;-49,29785716;Pinheirinho
-25,44950582;-49,29782861;Seminário
-25,51231864;-49,2977935;Capão Raso
-25,46588657;-49,29774004;Vila Izabel
-25,52568197;-49,29758291;Pinheirinho
-25,53456129;-49,29748042;Pinheirinho
-25,46681411;-49,29728945;Portão
-25,43192051;-49,29723178;Bigorrilho
-25,38539255;-49,29712207;Pilarzinho
-25,47405172;-49,29710431;Portão
-25,53550358;-49,29710368;Pinheirinho
-25,49598478;-49,29703081;Novo Mundo
-25,52485351;-49,29700558;Pinheirinho
-25,44913714;-49,29687115;Seminário
-25,46774165;-49,29683887;Portão
-25,53644587;-49,29672694;Pinheirinho
-25,51232728;-49,29672143;Capão Raso
-25,52402504;-49,29642825;Pinheirinho
-25,46866918;-49,29638829;Portão
-25,53738817;-49,29635021;Pinheirinho
-25,43154451;-49,29623689;Bigorrilho
-25,38513569;-49,29609211;Pilarzinho
-25,47376656;-49,29607053;Portão
-25,49559785;-49,29606301;Novo Mundo
-25,5239738;-49,29602366;Pinheirinho
-25,53833046;-49,29597347;Pinheirinho
-25,46959672;-49,2959377;Portão
-25,44876845;-49,29591368;Seminário
-25,52319658;-49,29585092;Pinheirinho
-25,51233592;-49,29564936;Capão Raso
-25,53927275;-49,29559673;Pinheirinho
-25,47052426;-49,29548712;Portão
-25,52236811;-49,2952736;Pinheirinho
-25,43116852;-49,295242;Bigorrilho
-25,54021504;-49,29522;Pinheirinho
-25,52459448;-49,29520225;Pinheirinho
-25,49521093;-49,29509521;Capão Raso
-25,38487882;-49,29506214;Pilarzinho
-25,4734814;-49,29503675;Portão
-25,47282464;-49,29503675;Portão
-25,47145179;-49,29503654;Portão
-25,47387223;-49,29499345;Portão
-25,44839977;-49,29495621;Seminário
-25,47491982;-49,29495014;Portão
-25,47596741;-49,29490684;Portão
-25,477015;-49,29486354;Portão
-25,54115733;-49,29484326;Pinheirinho
-25,47806258;-49,29482024;Portão
-25,47911017;-49,29477694;Portão
-25,48015776;-49,29473363;Novo Mundo
-25,48120535;-49,29469033;Novo Mundo
-25,48225294;-49,29464703;Novo Mundo
-25,48330053;-49,29460373;Novo Mundo
-25,47237933;-49,29458596;Portão
-25,51234456;-49,29457729;Capão Raso
-25,48434811;-49,29456043;Novo Mundo
-25,4853957;-49,29451712;Novo Mundo
-25,48644329;-49,29447382;Novo Mundo
-25,54209962;-49,29446652;Pinheirinho
-25,48749088;-49,29443052;Novo Mundo
-25,48853847;-49,29438722;Novo Mundo
-25,52521516;-49,29438084;Pinheirinho
-25,48958605;-49,29434391;Novo Mundo
-25,49063364;-49,29430061;Novo Mundo
-25,49168123;-49,29425731;Novo Mundo
-25,43079253;-49,29424712;Bigorrilho
-25,49272882;-49,29421401;Novo Mundo
-25,49377641;-49,29417071;Novo Mundo
-25,47330687;-49,29413537;Portão
-25,494824;-49,2941274;Novo Mundo
-25,494824;-49,2941274;Novo Mundo
-25,54304192;-49,29408978;Pinheirinho
-25,38462196;-49,29403217;Pilarzinho
-25,44803109;-49,29399875;Seminário
-25,54398421;-49,29371305;Sítio Cercado
-25,4742344;-49,29368479;Portão
-25,52583584;-49,29355944;Pinheirinho
-25,5123532;-49,29350522;Capão Raso
-25,5449265;-49,29333631;Sítio Cercado
-25,43041654;-49,29325223;Mercês
-25,44766241;-49,29304128;Seminário
-25,3843651;-49,2930022;Pilarzinho
-25,54586879;-49,29295957;Sítio Cercado
-25,52645652;-49,29273803;Pinheirinho
-25,54681108;-49,29258284;Umbará
-25,51236184;-49,29243315;Capão Raso
-25,43004054;-49,29225734;Mercês
-25,54775338;-49,2922061;Umbará
-25,44729373;-49,29208382;Batel
-25,38410824;-49,29197223;Pilarzinho
-25,5270772;-49,29191662;Pinheirinho
-25,54869567;-49,29182936;Umbará
-25,54963796;-49,29145262;Umbará
-25,51237048;-49,29136108;Capão Raso
-25,42966455;-49,29126246;Mercês
-25,44692504;-49,29112635;Batel
-25,52769788;-49,29109522;Pinheirinho
-25,55058025;-49,29107589;Umbará
-25,4502433;-49,29100653;Seminário
-25,38385137;-49,29094227;Pilarzinho
-25,55152254;-49,29069915;Umbará
-25,55246483;-49,29032241;Umbará
-25,51237911;-49,29028901;Capão Raso
-25,52831856;-49,29027381;Pinheirinho
-25,42928856;-49,29026757;Mercês
-25,44655636;-49,29016889;Batel
-25,44988675;-49,29004223;Água Verde
-25,55340713;-49,28994568;Umbará
-25,38359451;-49,2899123;Pilarzinho
-25,55434942;-49,28956894;Umbará
-25,52893924;-49,28945241;Pinheirinho
-25,42891257;-49,28927268;Mercês
-25,51238775;-49,28921694;Pinheirinho
-25,44618768;-49,28921142;Batel
-25,55529171;-49,2891922;Umbará
-25,44953021;-49,28907794;Água Verde
-25,46915065;-49,2890196;Água Verde
-25,38333765;-49,28888233;Pilarzinho
-25,556234;-49,28881546;Umbará
-25,52955992;-49,288631;Pinheirinho
-25,55717629;-49,28843873;Umbará
-25,46835536;-49,28836127;Água Verde
-25,42853657;-49,2882778;Mercês
-25,445819;-49,28825396;Batel
-25,47119463;-49,28815253;Portão
-25,44917366;-49,28811364;Água Verde
-25,55811858;-49,28806199;Umbará
-25,45106531;-49,28790304;Água Verde
-25,38308079;-49,28785236;Pilarzinho
-25,38308079;-49,28785236;Pilarzinho
-25,5301806;-49,28780959;Pinheirinho
-25,46756007;-49,28770293;Água Verde
-25,55906088;-49,28768525;Umbará
-25,4703327;-49,28755477;Água Verde
-25,56000317;-49,28730852;Umbará
-25,44545032;-49,28729649;Batel
-25,44881712;-49,28714934;Água Verde
-25,46676477;-49,2870446;Água Verde
-25,53080128;-49,28698819;Pinheirinho
-25,46947076;-49,28695701;Água Verde
-25,56094546;-49,28693178;Umbará
-25,45068791;-49,28691266;Água Verde
-25,38331729;-49,28683098;Pilarzinho
-25,4452288;-49,28671956;Batel
-25,56188775;-49,28655504;Umbará
-25,46596948;-49,28638626;Água Verde
-25,46860883;-49,28635926;Água Verde
-25,44508163;-49,28633903;Batel
-25,44846057;-49,28618505;Água Verde
-25,56283004;-49,2861783;Umbará
-25,53142196;-49,28616678;Pinheirinho
-25,44636597;-49,28612781;Água Verde
-25,45031052;-49,28592229;Água Verde
-25,3835538;-49,28580959;Pilarzinho
-25,56377233;-49,28580157;Umbará
-25,46774689;-49,2857615;Água Verde
-25,46517419;-49,28572793;Água Verde
-25,44750314;-49,28553607;Água Verde
-25,56471463;-49,28542483;Umbará
-25,44471295;-49,28538156;Batel
-25,53204264;-49,28534537;Pinheirinho
-25,44810403;-49,28522075;Água Verde
-25,46688496;-49,28516375;Água Verde
-25,4643789;-49,28506959;Água Verde
-25,56565692;-49,28504809;Umbará
-25,4486403;-49,28494433;Água Verde
-25,44993312;-49,28493192;Água Verde
-25,38379031;-49,28478821;Pilarzinho
-25,56659921;-49,28467136;Umbará
-25,46602302;-49,28456599;Água Verde
-25,53266332;-49,28452397;Pinheirinho
-25,44434427;-49,2844241;Batel
-25,46358361;-49,28441126;Água Verde
-25,44977747;-49,28435259;Água Verde
-25,5675415;-49,28429462;Umbará
-25,44774748;-49,28425645;Água Verde
-25,50585089;-49,28405587;Capão Raso
-25,46516109;-49,28396823;Água Verde
-25,44955572;-49,28394154;Água Verde
-25,56848379;-49,28391788;Umbará
-25,56848379;-49,28391788;Umbará
-25,38402681;-49,28376682;Pilarzinho
-25,46278832;-49,28375292;Água Verde
-25,53328401;-49,28370256;Pinheirinho
-25,44397559;-49,28346663;Batel
-25,46429915;-49,28337048;Água Verde
-25,44739094;-49,28329215;Água Verde
-25,50639886;-49,2831803;Xaxim
-25,46199303;-49,28309459;Água Verde
-25,56799371;-49,28302737;Umbará
-25,44917833;-49,28295117;Água Verde
-25,53390469;-49,28288116;Pinheirinho
-25,46343722;-49,28277272;Água Verde
-25,38426332;-49,28274544;Pilarzinho
-25,44360691;-49,28250917;Batel
-25,46119774;-49,28243625;Água Verde
-25,4470344;-49,28232786;Água Verde
-25,50694683;-49,28230474;Xaxim
-25,46257528;-49,28217496;Água Verde
-25,56750363;-49,28213685;Umbará
-25,53452537;-49,28205975;Pinheirinho
-25,44880093;-49,28196079;Água Verde
-25,46040245;-49,28177792;Água Verde
-25,38449983;-49,28172405;Taboão
-25,46171335;-49,28157721;Água Verde
-25,44323822;-49,2815517;Batel
-25,5074948;-49,28142917;Xaxim
-25,44667785;-49,28136356;Água Verde
-25,56701355;-49,28124634;Umbará
-25,53514605;-49,28123834;Sítio Cercado
-25,45960716;-49,28111958;Água Verde
-25,46085141;-49,28097945;Água Verde
-25,44842353;-49,28097042;Água Verde
-25,38473633;-49,28070267;Pilarzinho
-25,44286954;-49,28059424;Batel
-25,50804277;-49,28055361;Xaxim
-25,45881186;-49,28046125;Água Verde
-25,53576673;-49,28041694;Sítio Cercado
-25,44632131;-49,28039926;Água Verde
-25,45998948;-49,28038169;Água Verde
-25,56652347;-49,28035582;Umbará
-25,44804614;-49,27998005;Rebouças
-25,45801657;-49,27980291;Água Verde
-25,45912754;-49,27978394;Água Verde
-25,38497284;-49,27968128;Taboão
-25,50859074;-49,27967804;Xaxim
-25,44250086;-49,27963677;Batel
-25,53638741;-49,27959553;Sítio Cercado
-25,56603339;-49,2794653;Umbará
-25,44596476;-49,27943497;Água Verde
-25,45826561;-49,27918618;Água Verde
-25,45722128;-49,27914458;Água Verde
-25,44766874;-49,27898967;Rebouças
-25,50913871;-49,27880247;Xaxim
-25,53700809;-49,27877413;Sítio Cercado
-25,53700809;-49,27877413;Sítio Cercado
-25,44213218;-49,27867931;Batel
-25,38520935;-49,2786599;Pilarzinho
-25,45740367;-49,27858843;Água Verde
-25,56554331;-49,27857479;Umbará
-25,45642599;-49,27848624;Água Verde
-25,44560822;-49,27847067;Água Verde
-25,44729135;-49,2779993;Rebouças
-25,45654174;-49,27799067;Água Verde
-25,50968668;-49,27792691;Xaxim
-25,4556307;-49,27782791;Água Verde
-25,53676932;-49,2777898;Sítio Cercado
-25,4417635;-49,27772184;Batel
-25,56505323;-49,27768427;Umbará
-25,38544585;-49,27763851;Pilarzinho
-25,44525167;-49,27750637;Água Verde
-25,4556798;-49,27739291;Água Verde
-25,45483541;-49,27716958;Água Verde
-25,51023465;-49,27705134;Xaxim
-25,44691395;-49,27700892;Rebouças
-25,53653055;-49,27680547;Sítio Cercado
-25,45481787;-49,27679516;Água Verde
-25,56456315;-49,27679376;Umbará
-25,44139481;-49,27676437;Centro
-25,38568236;-49,27661712;Pilarzinho
-25,44489513;-49,27654207;Água Verde
-25,45404012;-49,27651124;Água Verde
-25,45395593;-49,2761974;Água Verde
-25,51078262;-49,27617577;Xaxim
-25,44653655;-49,27601855;Rebouças
-25,56407307;-49,27590324;Umbará
-25,45324483;-49,27585291;Água Verde
-25,53629179;-49,27582115;Sítio Cercado
-25,44102613;-49,27580691;Centro
-25,45309399;-49,27559964;Água Verde
-25,38591887;-49,27559574;Pilarzinho
-25,44453858;-49,27557778;Rebouças
-25,45236255;-49,27538725;Água Verde
-25,51133059;-49,27530021;Xaxim
-25,45244954;-49,27519457;Rebouças
-25,44615916;-49,27502817;Rebouças
-25,56358299;-49,27501273;Umbará
-25,45223206;-49,27500189;Rebouças
-25,44065745;-49,27484944;Centro
-25,53605302;-49,27483682;Sítio Cercado
-25,44418204;-49,27461348;Rebouças
-25,38615537;-49,27457435;São Lourenço
-25,45200453;-49,27442939;Rebouças
-25,51187856;-49,27442464;Xaxim
-25,56309291;-49,27412221;Umbará
-25,44578176;-49,2740378;Rebouças
-25,44028877;-49,27389198;Centro
-25,53581425;-49,27385249;Sítio Cercado
-25,44382549;-49,27364918;Rebouças
-25,38639188;-49,27355297;São Lourenço
-25,51242653;-49,27354908;Xaxim
-25,45164652;-49,27347154;Rebouças
-25,56260283;-49,2732317;Umbará
-25,44540437;-49,27304743;Rebouças
-25,43992009;-49,27293451;Centro
-25,53557549;-49,27286817;Sítio Cercado
-25,44346895;-49,27268488;Rebouças
-25,5129745;-49,27267351;Xaxim
-25,38662839;-49,27253158;São Lourenço
-25,4512885;-49,27251368;Rebouças
-25,56211275;-49,27234118;Umbará
-25,44502697;-49,27205705;Rebouças
-25,4395514;-49,27197705;Centro
-25,53533672;-49,27188384;Sítio Cercado
-25,51352247;-49,27179794;Xaxim
-25,45093048;-49,27155582;Rebouças
-25,3868649;-49,2715102;São Lourenço
-25,56162267;-49,27145067;Umbará
-25,44464957;-49,27106668;Rebouças
-25,43918272;-49,27101958;Centro
-25,51407044;-49,27092238;Xaxim
-25,53509795;-49,27089951;Sítio Cercado
-25,45057247;-49,27059796;Rebouças
-25,56113259;-49,27056015;Umbará
-25,3871014;-49,27048881;São Lourenço
-25,44427218;-49,2700763;Rebouças
-25,43881404;-49,27006212;Centro
-25,51461841;-49,27004681;Xaxim
-25,51461841;-49,27004681;Xaxim
-25,53485919;-49,26991519;Sítio Cercado
-25,56064251;-49,26966963;Umbará
-25,45021445;-49,2696401;Rebouças
-25,38733791;-49,26946743;São Lourenço
-25,44558503;-49,26917972;Rebouças
-25,43844536;-49,26910465;Centro
-25,44389478;-49,26908593;Rebouças
-25,51427974;-49,26907314;Boqueirão
-25,53462042;-49,26893086;Sítio Cercado
-25,56015243;-49,26877912;Umbará
-25,44985644;-49,26868224;Rebouças
-25,38757442;-49,26844604;São Lourenço
-25,42347484;-49,2683688;Centro Cívico
-25,42347484;-49,2683688;Centro Cívico
-25,42245587;-49,26834182;Centro Cívico
-25,4214369;-49,26831485;Centro Cívico
-25,42041794;-49,26828787;Centro Cívico
-25,41939897;-49,2682609;Centro Cívico
-25,41838;-49,26823392;Centro Cívico
-25,44521751;-49,26821402;Rebouças
-25,41736103;-49,26820694;Centro Cívico
-25,41634206;-49,26817997;Centro Cívico
-25,41532309;-49,26815299;Centro Cívico
-25,43807668;-49,26814719;Centro
-25,41430412;-49,26812602;Centro Cívico
-25,51394108;-49,26809947;Xaxim
-25,41328515;-49,26809904;Centro Cívico
-25,44351738;-49,26809555;Rebouças
-25,41226618;-49,26807207;Centro Cívico
-25,41124721;-49,26804509;Centro Cívico
-25,41022824;-49,26801812;Centro Cívico
-25,40920927;-49,26799114;Centro Cívico
-25,40819031;-49,26796417;Centro Cívico
