LATITUDE;LONGITUDE
-25,38889422;-49,23618437
-25,4025564;-49,24874109
-25,41463879;-49,27944437
-25,4155157;-49,26788344
-25,41787494;-49,26871346
-25,41958931;-49,26459162
-25,41982071;-49,26914666
-25,4223868;-49,29153256
-25,42321968;-49,26975134
-25,42369662;-49,20226787
-25,42848375;-49,28484102
-25,42898629;-49,22505126
-25,42899564;-49,25817973
-25,43044419;-49,21126578
-25,43336306;-49,30002098
-25,43374405;-49,2702578
-25,43392865;-49,27709342
-25,43569921;-49,25037903
-25,43712243;-49,2436999
-25,43767462;-49,26674008
-25,43800648;-49,31412274
-25,43907462;-49,22646408
-25,44006778;-49,33704613
-25,44095426;-49,23669395
-25,44112831;-49,34247234
-25,44228584;-49,24759029
-25,44304694;-49,28047834
-25,44311682;-49,21426904
-25,44354895;-49,26813797
-25,4441371;-49,23969561
-25,44617615;-49,18891314
-25,44836371;-49,28547833
-25,44851823;-49,28781726
-25,44964078;-49,35383274
-25,45704569;-49,28846057
-25,45736537;-49,21310129
-25,45930994;-49,30257347
-25,4613079;-49,28966757
-25,46766234;-49,29304183
-25,47204104;-49,28590349
-25,47276806;-49,29454148
-25,48113518;-49,29247324
-25,48450563;-49,29375533
-25,48785405;-49,29424867
-25,48973168;-49,24323724
-25,49572775;-49,29468058
-25,50361972;-49,29594132
-25,50774231;-49,29578577
-25,51290816;-49,27983997
-25,52547071;-49,23099163
-25,52803154;-49,29124745
-25,53091174;-49,28756203
-25,53468733;-49,28262953
-25,53558039;-49,28526119
-25,53585385;-49,2746687
-25,54463646;-49,265855
-25,54765774;-49,26021927
-25,55327558;-49,25085603
-25,4470161;-49,2169438
-25,4569023;-49,2885505
-25,3910633;-49,2581611
-25,44850915;-49,26341446
-25,52093635;-49,22809685
-25,4750535;-49,2740635
-25,51272965;-49,23209936
-25,42562425;-49,26653283
-25,5264583;-49,2361167
-25,4366326;-49,3179369
-25,4448545;-49,2853414
-25,4333135;-49,2999111
-25,4097604;-49,2555652
-25,4295314;-49,2838007
-25,4319921;-49,2965252
-25,4951858;-49,24055635
-25,4604091;-49,2117399
-25,43400165;-49,2691596
-25,4650533;-49,209789
-25,42389595;-49,2684661
-25,4270135;-49,26459005
-25,4161199;-49,261466
-25,5325708;-49,261782
-25,441803;-49,2307669
-25,4762588;-49,2802015
-25,4569023;-49,2885505
-25,5312493;-49,255334
-25,5252336;-49,2310412
-25,4299604;-49,26750388
-25,529059;-49,2461877
-25,5298311;-49,2501935
-25,3851272;-49,2328402
-25,46664465;-49,25432686
-25,395617;-49,2424311
-25,4349944;-49,3043674
-25,4421663;-49,2177395
-25,4330703;-49,26515754
-25,399575;-49,2462344
-25,4470161;-49,2169438
-25,4270135;-49,26459005
-25,43539155;-49,26085379
-25,4523403;-49,22994796
-25,45440195;-49,26046476
-25,3807688;-49,2288483
-25,4995066;-49,2960285
-25,4555143;-49,267603
-25,4740358;-49,2699924
-25,4290257;-49,26358317
-25,4356853;-49,2608025
-25,4724254;-49,2644932
-25,4303756;-49,2927177
-25,4386392;-49,3331512
-25,413157;-49,2587329
-25,4106789;-49,2661305
-25,5277629;-49,2407079
-25,47695055;-49,24957394
-25,44817895;-49,2580194
-25,4630161;-49,25640626
-25,48585365;-49,24510736
-25,4239904;-49,2683776
-25,4375592;-49,3243737
-25,4437729;-49,2090893
-25,4522607;-49,2878712
-25,4337193;-49,27028615
-25,41657375;-49,27925435
-25,4303756;-49,2927177
-25,425872;-49,24236485
-25,4415763;-49,2770993
-25,4358998;-49,274899
-25,4287618;-49,2880324
-25,4587229;-49,2498613
-25,5072779;-49,23474085
-25,4392476;-49,3177245
-25,47335195;-49,25132244
-25,43539155;-49,26085379
-25,47172085;-49,2374988
-25,4591512;-49,30242941
-25,4365522;-49,3285166
-25,413192;-49,2058339
-25,37745155;-49,26244374
-25,3931885;-49,2409903
-25,51699345;-49,23029225
-25,4061171;-49,2520801
-25,4839854;-49,3500479
-25,4362293;-49,3079771
-25,4417396;-49,3474496
-25,4397836;-49,2222149
-25,4921256;-49,29339708
-25,50158975;-49,2374899
-25,4690846;-49,2076415
-25,51164455;-49,32456598
-25,4771909;-49,3278076
-25,43257245;-49,26525389
-25,4818422;-49,2467592
-25,4526978;-49,2145997
-25,51264965;-49,2954345
-25,4759881;-49,2928083
-25,3769857;-49,2251485
-25,4014354;-49,3295239
-25,5340907;-49,2672899
-25,4294477;-49,2723205
-25,45913805;-49,25826066
-25,4388148;-49,2681139
-25,4431303;-49,2036123
-25,4313369;-49,2788224
-25,4646556;-49,2912392
-25,4774141;-49,2850011
-25,44178625;-49,26828035
-25,5207082;-49,2955224
-25,4967228;-49,2761679
