LOGRADOURO;BAIRRO ALTO;QUANTIDADE;TIPO;LATITUDE;LONGITUDE
APUCARANA;SÍTIO CERCADO;9;VIDA;-25,5428421;-49,28429589
APUCARANA;SÍTIO CERCADO;6;PATRIMONIO;-25,5428421;-49,28429589
EUFRÁSIO CORREIA;CENTRO;54;PATRIMONIO;-25,43729089;-49,26657121
EUFRÁSIO CORREIA;CENTRO;28;VIDA;-25,43729089;-49,26657121
PLÍNIO TOURINHO;JARDIM BOTÂNICO;14;PATRIMONIO;-26,0902889;-49,7864801
PLÍNIO TOURINHO;JARDIM BOTÂNICO;7;VIDA;-26,0902889;-49,7864801
engenheiro bley;TATUQUARA;3;VIDA;-25,6103244;-49,7375965
BOCAIUVA;SANTA QUITÉRIA;17;PATRIMONIO;-25,4677741;-49,5174506
BOCAIUVA;SANTA QUITÉRIA;3;VIDA;-25,4677741;-49,5174506
PIRAÍ DO SUL;AUGUSTA;43;PATRIMONIO;-25,4558873;-49,3784863
PIRAÍ DO SUL;CIDADE INDUSTRIAL;5;PATRIMONIO;-25,4558873;-49,3784863
PIRAÍ DO SUL;AUGUSTA;3;VIDA;-25,4558873;-49,3784863
CRUZEIRO DO OESTE;AUGUSTA;2;VIDA;-25,4551809;-49,3765658
ÂNGELO MARQUETO;AUGUSTA;17;PATRIMONIO;-25,474499;-49,3748721
ÂNGELO MARQUETO;AUGUSTA;4;VIDA;-25,474499;-49,3748721
CIDADE JARDIM OLINDA;AUGUSTA;2;VIDA;-25,4560334;-49,3736147
AUGUSTO BECK;AUGUSTA;6;PATRIMONIO;-25,47498;-49,3638043
JUSCELINO KUBITSCHEK DE OLIVEIRA;CIDADE INDUSTRIAL;25;PATRIMONIO;-25,4528492;-49,3625138
JUSCELINO KUBITSCHEK DE OLIVEIRA LE;CIDADE INDUSTRIAL;12;PATRIMONIO;-25,4528492;-49,3625138
JUSCELINO KUBITSCHEK DE OLIVEIRA;CIDADE INDUSTRIAL;8;VIDA;-25,4528492;-49,3625138
JOSÉ PICUSSA;AUGUSTA;7;PATRIMONIO;-25,4738654;-49,3612091
HERMENEGILDO LUCA;BUTIATUVINHA;7;PATRIMONIO;-25,4101456;-49,3609938
FREDERICO ESCORSIN;SÃO BRAZ;70;PATRIMONIO;-25,4192357;-49,3607353
FREDERICO ESCORSIN;SÃO BRAZ;4;VIDA;-25,4192357;-49,3607353
ENGENHEIRO JOÃO VISINONI;CIDADE INDUSTRIAL;10;PATRIMONIO;-25,4378069;-49,360039
ENGENHEIRO JOÃO VISINONI;CIDADE INDUSTRIAL;5;PATRIMONIO;-25,4378069;-49,360039
ANTONIO KAMINSKI;ORLEANS;2;VIDA;-25,4736436;-49,3599949
PROFESSOR LUCIR GALLIERI;SÃO BRAZ;2;VIDA;-25,4166019;-49,3594458
STANISLAU FELIBRANTE;AUGUSTA;23;PATRIMONIO;-25,477867;-49,3592984
STANISLAU FELIBRANTE;AUGUSTA;3;VIDA;-25,477867;-49,3592984
DOS IPES;BARREIRINHA;15;PATRIMONIO;-25,3743569;-49,3585092
MARIA HOMAN WISNIEWSKI;CIDADE INDUSTRIAL;192;PATRIMONIO;-25,4562519;-49,3584384
MARIA HOMAN WISNIEWSKI;CIDADE INDUSTRIAL;7;VIDA;-25,4562519;-49,3584384
JOSÉ RUBENS DE LIMA;SÃO BRAZ;2;VIDA;-25,4136354;-49,3582494
ANTÔNIO DE PAULA CHANOSKY;SÃO BRAZ;2;VIDA;-25,419401;-49,35817
PADRE ESTANISLAU PIASECKI;CIDADE INDUSTRIAL;12;PATRIMONIO;-25,4361932;-49,3581513
PADRE ESTANISLAU PIASECKI;CIDADE INDUSTRIAL;10;VIDA;-25,4361932;-49,3581513
PADRE ESTANISLAU PIASECKI;CIDADE INDUSTRIAL;15;PATRIMONIO;-25,4361932;-49,3581513
CIDADE DE ITAPETININGA;AUGUSTA;3;VIDA;-25,4900236;-49,3577799
ROGERIO PEREIRA DE CAMARGO;CIDADE INDUSTRIAL;5;PATRIMONIO;-25,4424299;-49,3576744
PAULO JULIO REKSIDLER;SÃO MIGUEL;10;PATRIMONIO;-25,49811168;-49,35764159
CARLOS EDUARDO MARTINS MERCER;SÃO MIGUEL;2;VIDA;-25,4991877;-49,357565
ANTÔNIO PAVELSKI;AUGUSTA;15;VIDA;-25,4794413;-49,3575018
ANTÔNIO PAVELSKI;AUGUSTA;14;PATRIMONIO;-25,4794413;-49,3575018
TOMAZ PARIS;SANTA FELICIDADE;8;PATRIMONIO;-25,4124742;-49,3574844
JAN FREDERIK DE JAGER;AUGUSTA;22;PATRIMONIO;-25,48999083;-49,35734703
PADRE VICTOR DEWOR;CIDADE INDUSTRIAL;3;VIDA;-25,4393556;-49,356778
THEODORO LOCKER;CIDADE INDUSTRIAL;2;VIDA;-25,4654051;-49,3561807
MANOEL;SÍTIO CERCADO;8;PATRIMONIO;-25,388687;-49,3558189
JAÇANÃ;SÃO BRAZ;6;PATRIMONIO;-25,4145967;-49,3557517
LUIZ HOMANN;SÃO BRAZ;12;PATRIMONIO;-25,4217327;-49,3557177
ULISSES AURÉLIO VISINONI;AUGUSTA;2;VIDA;-25,4865251;-49,355607
MIGUEL NOVICKI;SÃO BRAZ;35;PATRIMONIO;-25,4125015;-49,3556067
MIGUEL NOVICKI;SÃO BRAZ;3;VIDA;-25,4125015;-49,3556067
PEDRO;CIDADE INDUSTRIAL;9;PATRIMONIO;-25,445716;-49,3555802
SÃO PEDRO;CABRAL;3;VIDA;-25,445716;-49,3555802
EDUARDO SPRADA;CIDADE INDUSTRIAL;81;PATRIMONIO;-25,4507621;-49,355397
EDUARDO SPRADA;CAMPO COMPRIDO;47;PATRIMONIO;-25,4507621;-49,355397
EDUARDO SPRADA;AUGUSTA;28;PATRIMONIO;-25,4507621;-49,355397
EDUARDO SPRADA;SANTA FELICIDADE;17;PATRIMONIO;-25,4507621;-49,355397
EDUARDO SPRADA;CIDADE INDUSTRIAL;14;VIDA;-25,4507621;-49,355397
EDUARDO SPRADA;AUGUSTA;13;VIDA;-25,4507621;-49,355397
EDUARDO SPRADA;CAMPO COMPRIDO;10;VIDA;-25,4507621;-49,355397
EDUARDO SPRADA;SANTA FELICIDADE;5;VIDA;-25,4507621;-49,355397
ANTONIO GEROSLAU FERREIRA;CIDADE INDUSTRIAL;155;PATRIMONIO;-25,4970131;-49,3552624
ANTÔNIO GEROSLAU FERREIRA;CIDADE INDUSTRIAL;37;PATRIMONIO;-25,4970131;-49,3552624
ANTONIO GEROSLAU FERREIRA;CIDADE INDUSTRIAL;5;VIDA;-25,4970131;-49,3552624
EMILIA ERICHSEN;CIDADE INDUSTRIAL;18;PATRIMONIO;-25,4538869;-49,3551151
EMÍLIA ERICHSEN;CIDADE INDUSTRIAL;7;PATRIMONIO;-25,4538869;-49,3551151
PADRE PAULO WARKOCZ;CIDADE INDUSTRIAL;7;PATRIMONIO;-25,4385361;-49,3550879
PEDRO IVO;CENTRO;218;PATRIMONIO;-25,3901979;-49,3550219
PEDRO IVO;CENTRO;100;VIDA;-25,3901979;-49,3550219
SALVADOR JOSÉ CORREIA COELHO;CIDADE INDUSTRIAL;2;VIDA;-25,452282;-49,3548866
JOÃO BUDEL;BUTIATUVINHA;12;PATRIMONIO;-25,390733;-49,3547755
JOÃO BUDEL;BUTIATUVINHA;3;VIDA;-25,390733;-49,3547755
EDMUNDO HRUSCHKA;SÃO MIGUEL;2;VIDA;-25,5067303;-49,3544751
PROFESSORA CECÍLIA IRITANI;SÃO MIGUEL;6;VIDA;-25,5049321;-49,3543286
ROBERT REDZIMSKI;CIDADE INDUSTRIAL;50;PATRIMONIO;-25,4503402;-49,3542525
ROBERT REDZIMSKI;CIDADE INDUSTRIAL;8;VIDA;-25,4503402;-49,3542525
VICTOR GRYCAJUK;SÃO MIGUEL;47;PATRIMONIO;-25,5070593;-49,3541728
VICTOR GRYCAJUK;SÃO MIGUEL;7;VIDA;-25,5070593;-49,3541728
MARIA LÚCIA LOCHER DE ATHAYDE;SÃO MIGUEL;11;PATRIMONIO;-25,4896116;-49,354087
MARIA LÚCIA LOCHER DE ATHAYDE;SÃO MIGUEL;4;VIDA;-25,4896116;-49,354087
MARIA LÚCIA LOCHER DE ATHAYDE;CIDADE INDUSTRIAL;3;VIDA;-25,4896116;-49,354087
MARIA LUCIA LOCHER DE ATHAYDE;CIDADE INDUSTRIAL;2;VIDA;-25,4896116;-49,354087
FLAVIO ERNANI BARBIZAN;SÃO MIGUEL;3;VIDA;-25,5042036;-49,3539063
LUDOVICO LUCCA;SÃO BRAZ;3;VIDA;-25,4161056;-49,3537615
LEANDRO DACHEUX DO NASCIMENTO JÚNIOR;CIDADE INDUSTRIAL;3;VIDA;-25,4583333;-49,353672
SOLDADO AGNALDO GONÇALVES;CIDADE INDUSTRIAL;4;VIDA;-25,4631815;-49,3536459
CIDADE DE CORONEL FREITAS;CIDADE INDUSTRIAL;9;PATRIMONIO;-25,4549073;-49,3536181
CIDADE DE CORONEL FREITAS;CIDADE INDUSTRIAL;2;VIDA;-25,4549073;-49,3536181
ANGELO MASSIGNAN;SÃO BRAZ;2;VIDA;-25,4144776;-49,3535148
AYRTON PRECOMA;SÃO MIGUEL;5;PATRIMONIO;-25,5031519;-49,3532967
PEDRO ALEIXO;CIDADE INDUSTRIAL;3;VIDA;-25,481361;-49,3532258
ARNAUD FERREIRA VELLOSO;CIDADE INDUSTRIAL;23;PATRIMONIO;-25,4841135;-49,353193
ARNAUD FERREIRA VELLOSO;CIDADE INDUSTRIAL;4;VIDA;-25,4841135;-49,353193
VEREADOR TOALDO TÚLIO;SÃO BRAZ;15;PATRIMONIO;-25,4308083;-49,3531699
VEREADOR TOALDO TÚLIO;BUTIATUVINHA;6;PATRIMONIO;-25,4308083;-49,3531699
VEREADOR TOALDO TÚLIO;SANTA FELICIDADE;6;PATRIMONIO;-25,4308083;-49,3531699
VEREADOR TOALDO TÚLIO;SANTA FELICIDADE;3;VIDA;-25,4308083;-49,3531699
VEREADOR TOALDO TÚLIO;SÃO BRAZ;3;VIDA;-25,4308083;-49,3531699
toaldo tulio;SANTA FELICIDADE;2;VIDA;-25,4308083;-49,3531699
VEREADOR TOALDO TÚLIO;ORLEANS;5;PATRIMONIO;-25,4308083;-49,3531699
TUNEIRAS DO OESTE;CIDADE INDUSTRIAL;8;PATRIMONIO;-25,4867155;-49,3530957
RAUL POMPEIA;CIDADE INDUSTRIAL;18;PATRIMONIO;-25,4851446;-49,3530951
RAUL POMPEIA;CIDADE INDUSTRIAL;11;VIDA;-25,4851446;-49,3530951
RAUL POMPEIA;AUGUSTA;9;PATRIMONIO;-25,4851446;-49,3530951
RAUL POMPEIA;AUGUSTA;7;VIDA;-25,4851446;-49,3530951
RAUL POMPEIA;CAMPO COMPRIDO;5;PATRIMONIO;-25,4851446;-49,3530951
RAUL POMPEIA;FAZENDINHA;2;VIDA;-25,4851446;-49,3530951
JOSÉ DE SOUZA PEREIRA;CIDADE INDUSTRIAL;2;VIDA;-25,462882;-49,353011
LODOVICO KAMINSKI;CIDADE INDUSTRIAL;114;PATRIMONIO;-25,4815835;-49,3527684
