LATITUDE;LONGITUDE;QUANTIDADE
-25,3836134;-49,1818316;28
-25,4740165;-49,191644;17
-25,4661948;-49,1942963;16
-25,4740989;-49,1945771;26
-25,4712125;-49,1946432;13
-25,4684186;-49,194712;16
-25,48188423;-49,19517859;30
-25,4771669;-49,1958106;77
-25,415297;-49,1971528;17
-25,4543202;-49,1980722;45
-25,4221415;-49,1981607;42
-25,4841504;-49,198473;14
-25,4258623;-49,1986281;46
-25,4545338;-49,1987384;48
-25,3972546;-49,1991797;13
-25,4082399;-49,1992339;38
-25,3990383;-49,1996458;14
-25,4683432;-49,1996513;13
-25,384364;-49,1998173;65
-25,4679243;-49,1998994;22
-25,4038368;-49,2000145;62
-25,4197202;-49,2002807;13
-25,4682708;-49,2004286;30
-25,38308796;-49,20066841;38
-25,3994498;-49,2007792;29
-25,4262916;-49,2010637;68
-25,4011939;-49,2012464;23
-25,4077994;-49,202058;24
-25,412543;-49,202365;15
-25,4549734;-49,2024927;78
-25,4033667;-49,2027996;22
-25,4253861;-49,2028427;14
-25,4020874;-49,2034017;51
-25,4068797;-49,2037646;22
-25,4178948;-49,2037652;168
-25,4581011;-49,2039118;45
-25,4007722;-49,2040208;47
-25,4196432;-49,2041813;18
-25,4086381;-49,2042048;50
-25,4812063;-49,2043536;25
-25,4705309;-49,2044573;13
-25,3890627;-49,2044652;14
-25,3994172;-49,2046586;32
-25,3932305;-49,2049906;22
-25,4584563;-49,2050363;56
-25,4549948;-49,2050396;26
-25,4912989;-49,2050586;99
-25,3980903;-49,2052831;26
-25,394985;-49,2054535;27
-25,4108234;-49,2057915;49
-25,4672274;-49,2059661;46
-25,4588093;-49,2061537;24
-25,4125182;-49,2063196;27
-25,465897;-49,2063622;25
-25,4205079;-49,2063857;15
-25,4174085;-49,2065428;34
-25,4683419;-49,2066337;21
-25,4002313;-49,2068901;177
-25,47578996;-49,2070918;30
-25,4917461;-49,2071097;18
-25,4453514;-49,2073542;13
-25,4363954;-49,2077293;33
-25,4602438;-49,2081035;25
-25,4195815;-49,2081263;33
-25,3920516;-49,2081459;26
-25,5016358;-49,2082049;300
-25,4374182;-49,2082521;36
-25,4787281;-49,2082767;14
-25,4491009;-49,2084895;15
-25,443329;-49,2084959;357
-25,4434254;-49,2085457;20
-25,4401811;-49,2087565;16
-25,3834384;-49,2088361;15
-25,3931981;-49,2088905;26
-25,4613869;-49,2089643;31
-25,4509626;-49,2090628;40
-25,4457819;-49,2091056;17
-25,4652115;-49,2097958;74
-25,3763354;-49,210524;17
-25,4602118;-49,210593;38
-25,4399722;-49,2106112;16
-25,3836054;-49,2112181;15
-25,4708765;-49,2112619;15
-25,4935606;-49,2115189;18
-25,4543006;-49,2115599;16
-25,4665454;-49,2117427;29
-25,4318482;-49,2122163;39
-25,464072;-49,2123482;87
-25,37385016;-49,21238279;18
-25,4397138;-49,2124906;25
-25,4155637;-49,2126475;13
-25,4366118;-49,2127934;14
-25,4406873;-49,2130229;28
-25,4199718;-49,2130415;29
-25,43024;-49,2134492;43
-25,4452251;-49,2135373;15
-25,4525193;-49,2143941;153
-25,4526978;-49,2145997;90
-25,4596516;-49,2146327;18
-25,501942;-49,215186;62
-25,39940626;-49,21543105;26
-25,4788079;-49,2155152;23
-25,44601773;-49,21553613;14
-25,4307258;-49,2157059;85
-25,4599614;-49,2157649;145
-25,456489;-49,2158131;29
-25,5078489;-49,2159224;18
-25,4388179;-49,215938;30
-25,4652095;-49,2159526;20
-25,503673;-49,2159777;16
-25,4130082;-49,2164143;36
-25,36955088;-49,21645625;47
-25,4966705;-49,2164587;28
-25,4827491;-49,2170313;16
-25,4759995;-49,2176449;90
-25,4167481;-49,2176503;41
-25,3891534;-49,2177847;17
-25,5065279;-49,2180385;21
-25,3871397;-49,2184257;96
-25,4985457;-49,2185222;18
-25,4556494;-49,2186744;43
-25,4337706;-49,2192075;40
-25,3755299;-49,2192651;18
-25,5070089;-49,2192871;15
-25,4096698;-49,2195213;19
-25,4161229;-49,2196908;18
-25,5116029;-49,2197549;45
-25,4560177;-49,2197859;62
-25,4688973;-49,2199611;36
-25,46049319;-49,22006397;21
-25,4979422;-49,2201422;26
-25,36866791;-49,22014737;26
-25,41085874;-49,2203115;37
-25,4336053;-49,2203955;20
-25,4094994;-49,220605;113
-25,4112507;-49,2206067;25
-25,4437557;-49,220614;13
-25,4343096;-49,2208314;28
-25,4631315;-49,2208744;14
-25,5060954;-49,2211246;29
-25,4129334;-49,2211974;21
-25,5121824;-49,2211986;160
-25,3770509;-49,2217195;68
-25,4398175;-49,2217413;174
-25,3746262;-49,2221816;38
-25,4097604;-49,2227763;17
-25,4370888;-49,2229978;19
-25,4844386;-49,2234377;551
-25,4607452;-49,2237066;70
-25,3661136;-49,2237793;13
-25,4394904;-49,2238585;56
-25,4935784;-49,2241418;14
-25,4176105;-49,2241438;13
-25,5089199;-49,2241832;64
-25,4130416;-49,2246387;23
-25,3828863;-49,2246576;20
-25,46381208;-49,22466486;14
-25,382921;-49,2246965;13
-25,3950056;-49,224838;17
-25,3895;-49,2248593;43
-25,5071471;-49,2250907;165
-25,3787027;-49,2254312;22
-25,3819741;-49,2255406;13
-25,4430634;-49,2257702;29
-25,4526161;-49,2262066;43
-25,4722003;-49,2262736;13
-25,3734928;-49,2263241;62
-25,4965117;-49,2263506;18
-25,3825728;-49,2264158;14
-25,4854974;-49,2266867;13
-25,4893934;-49,226729;53
-25,452366;-49,22681479;13
-25,4531074;-49,2269745;29
-25,505783;-49,2271655;26
-25,3848868;-49,2273784;19
-25,487123;-49,2274201;28
-25,4993035;-49,2275092;18
-25,4572671;-49,2275344;22
-25,4381548;-49,2275466;26
-25,4804625;-49,2276138;18
-25,4420325;-49,2276413;13
-25,4527878;-49,2276712;246
-25,4853729;-49,2278237;16
-25,5062799;-49,2283548;207
-25,42850057;-49,22868732;62
-25,5249554;-49,2286881;15
-25,5240368;-49,2291397;27
-25,4144646;-49,229208;13
-25,3945543;-49,2295903;331
-25,5002515;-49,2298732;136
-25,5179261;-49,2300255;244
-25,46862759;-49,23016209;19
-25,47754;-49,230199;14
-25,4151697;-49,2303812;42
-25,4573482;-49,2308279;15
-25,428329;-49,2308732;372
-25,5161268;-49,231012;73
-25,5271656;-49,2311477;28
-25,4381008;-49,2311629;15
-25,5163545;-49,2315804;21
-25,3849287;-49,2316495;46
-25,3945544;-49,2316865;21
-25,3847176;-49,231731;130
-25,36097121;-49,2317468;58
-25,4436951;-49,2321347;17
-25,5232708;-49,2323258;22
