LOGRADOURO;BAIRRO;QUANTIDADE;TIPO;LATITUDE;LONGITUDE
R. MARIA BUENO;NOVO MUNDO;13;COMERCIO;-26,1906504;-50,930745
R. ANTONIO CLAUDINO;PINHEIRINHO;14;COMERCIO;-25,9646568;-49,0834198
R. DR. JOSÉ PALÚ;NOVO MUNDO;4;INDUSTRIA;-25,7838265;-49,3373761
R. DR. JOSÉ PALÚ;NOVO MUNDO;14;COMERCIO;-25,7838265;-49,3373761
R. DOUTOR DECIO DOSSI;ALTO BOQUEIRÃO;16;COMERCIO;-25,77472;-49,3159453
R. DOUTOR MANOEL PEDRO;CABRAL;30;COMERCIO;-25,7735688;-49,7180441
R. ANTONIO LACERDA BRAGA;CIDADE INDUSTRIAL;8;INDUSTRIA;-25,7646332;-49,7380046
R. ANTONIO LACERDA BRAGA;CIDADE INDUSTRIAL;34;COMERCIO;-25,7646332;-49,7380046
R. TAPAJOS;BOM RETIRO;28;COMERCIO;-25,6380933;-49,3258969
R. PEDRO CAVICHIOLO;CAMPO DE SANTANA;4;INDUSTRIA;-25,6074716;-49,3422084
R. JORGE TORTATO;CAMPO DE SANTANA;3;INDUSTRIA;-25,6027384;-49,321667
R. JOSÉ ANTONIO LEPREVOST;SANTA CÂNDIDA;16;COMERCIO;-25,5997155;-49,3301001
R. VERGILIA CALIXTO;UMBARÁ;3;INDUSTRIA;-25,5989221;-49,2734352
R. URIEL NOGUEIRA DOS SANTOS;CAMPO DE SANTANA;5;INDUSTRIA;-25,5986996;-49,3270482
R. LUCAS CARVALHO;CAMPO DE SANTANA;3;INDUSTRIA;-25,5949881;-49,3254584
R. MARIA LUZARDI BERTOLDI;CAMPO DE SANTANA;3;INDUSTRIA;-25,5941509;-49,3426096
R. BELMIRA CARVALHO BERTOLDI;CAMPO DE SANTANA;7;INDUSTRIA;-25,5936952;-49,3361972
R. JOÃO BERTOLDI;CAMPO DE SANTANA;4;INDUSTRIA;-25,5927586;-49,3349866
R. MARCOS BERTOLDI;CAMPO DE SANTANA;102;COMERCIO;-25,5911969;-49,3394653
R. LYDIA GIRARDI BERTHOLDI;CAMPO DE SANTANA;23;COMERCIO;-25,5909255;-49,3361772
R. EMANOEL ERNESTO BERTOLDI;CAMPO DE SANTANA;27;COMERCIO;-25,5892828;-49,3303767
R. ANGELO TOZIM;CAMPO DE SANTANA;4;INDUSTRIA;-25,5877365;-49,327869
R. ANGELO TOZIM;CAMPO DE SANTANA;34;COMERCIO;-25,5877365;-49,327869
R. JÚLIO PEREIRA SOBRINHO;CAMPO DE SANTANA;32;COMERCIO;-25,5874632;-49,324193
R. ADOLPHO BERTOLDI;CAMPO DE SANTANA;25;COMERCIO;-25,5872926;-49,3408179
R. ALDA BASSETTI BERTHOLDI;CAMPO DE SANTANA;13;COMERCIO;-25,5860624;-49,3337957
R. ANGELO GAI;UMBARÁ;13;INDUSTRIA;-25,583964;-49,2952741
R. PEDRO PILATO;UMBARÁ;7;INDUSTRIA;-25,5811068;-49,2838057
R. PRESIDENTE JOAO GOULART;TATUQUARA;5;INDUSTRIA;-25,5772132;-49,3321452
R. PRESIDENTE JOAO GOULART;TATUQUARA;36;COMERCIO;-25,5772132;-49,3321452
