LATITUDE;LONGITUDE;QUANTIDADE
-25,7838265;-49,3373761;4
-25,7646332;-49,7380046;8
-25,62428215;-49,34819502;14
-25,6074716;-49,3422084;4
-25,60567486;-49,32982487;28
-25,6027384;-49,321667;3
-25,5989221;-49,2734352;3
-25,5986996;-49,3270482;5
-25,5949881;-49,3254584;3
-25,5941509;-49,3426096;3
-25,5936952;-49,3361972;7
-25,59365669;-49,31582667;9
-25,5927586;-49,3349866;4
-25,5877365;-49,327869;4
-25,583964;-49,2952741;13
-25,5811068;-49,2838057;7
-25,57868766;-49,2660708;12
-25,57860482;-49,33135754;3
-25,5772132;-49,3321452;5
-25,5745006;-49,2545816;6
-25,5730389;-49,3351759;3
-25,5686337;-49,3346079;3
-25,5682133;-49,292626;6
-25,566568;-49,2819722;4
-25,566131;-49,2879437;36
-25,5655607;-49,2505878;6
-25,564916;-49,3357154;3
-25,564328;-49,3408229;4
-25,5641183;-49,2888296;4
-25,56409089;-49,30869662;17
-25,5639643;-49,2500073;6
-25,5625672;-49,3373141;3
-25,5621263;-49,3385241;3
-25,5610999;-49,3373443;4
-25,5609581;-49,29088;7
-25,5598416;-49,25606076;5
-25,559551;-49,3385078;4
-25,5589008;-49,3313455;6
-25,5588141;-49,252797;3
-25,5579832;-49,2798651;3
-25,5562351;-49,2792387;4
-25,5546318;-49,308033;6
-25,5544081;-49,278916;3
-25,5540427;-49,296349;3
-25,5540379;-49,2667723;8
-25,55291562;-49,2784321;5
-25,5528589;-49,250452;23
-25,5525172;-49,2635801;4
-25,5524621;-49,2741964;3
-25,5518758;-49,2524566;5
-25,5518067;-49,3334788;8
-25,5512511;-49,3117796;9
-25,5511916;-49,2985943;3
-25,5505779;-49,3299723;6
-25,5504385;-49,2653207;5
-25,5503057;-49,2645864;3
-25,550053;-49,3073101;3
-25,5500058;-49,2585906;3
-25,549851;-49,2989766;5
-25,5494387;-49,2596843;6
-25,5493568;-49,3243682;5
-25,5487501;-49,339956;7
-25,54831284;-49,3414283;5
-25,5472719;-49,2709916;8
-25,5471261;-49,3314031;3
-25,5463474;-49,2685492;4
-25,546324;-49,2854999;6
-25,5461556;-49,3442573;4
-25,5460996;-49,2631334;14
-25,5458871;-49,3327645;6
-25,5454757;-49,2593016;4
-25,5453413;-49,2649329;4
-25,5452058;-49,2648024;15
-25,544975;-49,2535507;4
-25,5449678;-49,2907567;3
-25,5448296;-49,2719463;6
-25,5446605;-49,3166479;4
-25,544066;-49,2810614;9
-25,5439867;-49,3411499;20
-25,5439459;-49,2629607;6
-25,5438762;-49,3321164;8
-25,54382871;-49,3018575;4
-25,5438137;-49,3269497;11
-25,5437022;-49,2908577;6
-25,5434313;-49,2502128;9
-25,5432168;-49,2566174;7
-25,5431371;-49,2599919;3
-25,5431219;-49,2623357;3
-25,542811;-49,3408679;3
-25,54248;-49,2963517;5
-25,5423902;-49,2842538;11
-25,5419285;-49,288702;3
-25,5417318;-49,2558316;14
-25,5414305;-49,2743368;12
-25,5407385;-49,2975272;3
-25,5406891;-49,2984811;6
-25,5404145;-49,2556538;4
-25,5403152;-49,2793345;7
-25,5402043;-49,2880469;3
-25,5397408;-49,2876159;3
-25,5392362;-49,2818058;5
-25,5391056;-49,3350234;3
-25,5386998;-49,2812243;4
-25,5386819;-49,2887703;4
-25,5380573;-49,2958139;6
-25,5377779;-49,2937806;4
-25,5368077;-49,2711251;4
-25,5366726;-49,2407001;5
-25,5362528;-49,2613776;6
-25,5362087;-49,2970044;3
-25,535434;-49,2860533;3
-25,53522756;-49,23975235;4
-25,5352263;-49,2989505;3
-25,5351677;-49,2542835;4
-25,5348738;-49,2786457;4
-25,5348349;-49,26836;11
-25,5346854;-49,2738171;3
-25,5344823;-49,2643211;5
-25,5343475;-49,2458069;3
-25,5334434;-48,5232587;4
-25,5332359;-49,2331149;3
-25,5331335;-49,2611624;5
-25,5330868;-49,247194;4
-25,5328626;-49,2836221;3
-25,5321915;-49,2589147;3
-25,5321783;-49,2336493;4
-25,5320968;-49,257285;4
-25,5320636;-49,2828924;3
-25,5320249;-49,2649029;4
-25,5314676;-49,249913;6
-25,531157;-49,2643196;5
-25,5306044;-49,2953218;10
-25,5302244;-49,3354421;8
-25,5299125;-49,2391733;3
-25,5297644;-49,2693054;3
-25,5296769;-49,2488227;6
-25,5294544;-49,2654745;5
-25,5286507;-49,2862228;4
-25,5281042;-49,2934548;14
-25,5280031;-49,2369303;26
-25,5275945;-49,2400875;15
-25,52736981;-49,29812435;16
-25,527174;-49,3161711;7
-25,5271656;-49,2311477;4
-25,5269702;-49,2466554;5
-25,5269142;-49,2931525;19
-25,5269106;-49,2654022;3
-25,5268046;-49,2531094;3
-25,5265261;-49,2759024;8
-25,5259883;-49,2366735;3
-25,52542276;-49,25950849;9
-25,5253449;-49,2921292;3
-25,5250506;-49,2409671;21
-25,5242114;-49,2264415;5
-25,52397184;-49,26349067;3
-25,5237039;-49,2922478;5
-25,5234903;-49,2637097;3
-25,5232708;-49,2323258;9
-25,5230387;-49,24445;12
-25,5224719;-49,3041129;10
-25,5223202;-49,3338867;3
-25,5222492;-49,2923337;3
-25,5222413;-49,3007726;3
-25,521903;-49,2718229;9
-25,5215442;-49,261205;3
-25,5214524;-49,2876591;13
-25,521249;-49,2776075;3
-25,5211892;-49,2963037;3
-25,5210284;-49,2792737;3
-25,5209707;-49,2900918;3
-25,5209119;-49,2331554;3
-25,5208702;-49,2838118;6
-25,5207787;-49,2748727;3
-25,5203977;-49,2844224;4
-25,5203434;-49,2613497;23
-25,5202296;-49,2659708;3
-25,5197778;-49,2661027;3
-25,5191161;-49,2867489;3
-25,5190754;-49,2663011;3
-25,5189367;-49,3236494;22
-25,5186898;-49,3007143;5
-25,5186627;-48,5049173;5
-25,518584;-49,3084411;8
-25,5183307;-49,3215792;11
-25,5179261;-49,2300255;25
-25,5177546;-49,2241746;6
-25,5177435;-49,2745292;4
-25,5176829;-49,2941073;3
-25,5176802;-49,2666848;4
-25,517271;-49,2393175;17
-25,5172497;-49,2366963;12
-25,5168979;-49,3249164;6
-25,5164718;-49,2384734;15
-25,5164349;-49,287303;3
-25,5163545;-49,2315804;3
-25,5161712;-49,3043876;4
-25,5161268;-49,231012;14
-25,5157438;-49,2842913;3
-25,5156369;-49,267287;3
-25,5154687;-49,3156045;4
-25,5154321;-49,2347341;3
-25,5151988;-49,279437;5
-25,51511;-49,2939409;7
-25,5151039;-49,3173844;4
-25,5148056;-49,328943;10
-25,5145843;-49,3258214;3
-25,5144881;-49,3043802;6
-25,5143009;-49,2787;5
-25,5142434;-49,2745145;4
-25,5140094;-49,3329168;3
-25,5139802;-49,33182;3
-25,5136865;-49,2514539;22
-25,5136205;-49,3007673;3
-25,5136079;-49,2719825;22
-25,5132953;-49,3297828;3
-25,5128356;-49,3026315;14
-25,5128172;-49,2652183;4
-25,5123596;-49,3285197;4
-25,5122558;-49,2662323;5
-25,5122302;-49,2740987;3
-25,5121824;-49,2211986;50
-25,5120946;-49,3280126;3
-25,512056;-49,2654152;10
-25,511766;-49,2499367;3
-25,5116635;-49,2783927;13
-25,5116029;-49,2197549;29
-25,5113847;-49,2694098;3
-25,5112117;-49,2756361;3
-25,5111859;-49,3092914;4
-25,5109569;-49,3263547;3
-25,5105418;-49,3262167;4
-25,5102694;-49,299059;10
-25,5102466;-49,2973539;7
-25,5101169;-49,2838968;4
-25,5096709;-49,2779264;4
-25,5096338;-49,3211164;3
-25,5094296;-49,3008579;7
-25,5092746;-49,2194847;6
-25,5090895;-49,2918462;4
-25,5089199;-49,2241832;19
-25,5087494;-49,2717147;8
-25,5086265;-49,2794741;3
-25,5078489;-49,2159224;7
-25,5076966;-49,3008953;3
-25,5075487;-49,2597842;4
-25,5071471;-49,2250907;24
-25,5070089;-49,2192871;3
-25,5068987;-49,3045659;9
-25,5068526;-49,3009136;7
-25,5065279;-49,2180385;10
-25,5062799;-49,2283548;62
-25,5062451;-49,2501859;7
-25,50624128;-49,2822982;13
-25,5061457;-49,2798377;5
-25,5060954;-49,2211246;4
-25,506092;-49,3453529;5
-25,5059316;-49,2754698;3
-25,505783;-49,2271655;14
-25,5057709;-49,2795242;4
-25,5053364;-49,2803862;12
-25,5052031;-49,2880261;3
-25,5051024;-49,3027721;3
-25,5050467;-49,3234226;3
-25,5050358;-49,2869354;3
-25,5048459;-49,2941938;3
-25,5047018;-49,270438;4
-25,5046805;-49,2217185;5
-25,5046499;-49,3412883;10
-25,50464798;-49,2751558;5
-25,5044446;-49,3317991;8
-25,504371;-49,2153332;4
-25,5042903;-49,2958742;20
-25,5042087;-49,2614741;3
-25,5041269;-49,2867359;3
-25,5040508;-49,2132965;3
-25,5037819;-49,343352;4
-25,503673;-49,2159777;3
-25,5036633;-49,3093596;4
-25,5036385;-49,3191123;5
-25,5034739;-49,2734341;5
